i,j,x,y,z
1,1,-.8314490973754243,.5320949263407297,.1598980545098829
1,2,-.2374716526148035,-.4002366450662673,-.8851089436620178
1,3,.1770254530309518,.6686925851343916,-.7221580267264712
1,4,.9433631319667456,.3045190017563484,.1316593286296483
1,5,-.0834126131815216,-.7002526412108012,-.7090053416156515
1,6,.7557227718989569,.6545703407552586,.0205124605277332
1,7,.7555095747609079,.3909937781047008,-.5256701893088520
1,8,-.6093055918972351,.7929124378557419,-.0060466169404148
2,1,.5855663492238447,.7422450688449633,.3258593384145895
2,2,.6892498948855363,-.7195412987634334,-.0848227668383223
2,3,.8270656785713089,-.3263589831698211,.4576594557460173
2,4,.8820220569669812,.1425674883735334,.4491231482373158
2,5,.5141195081485612,-.7754409802002497,.3665684350392946
2,6,-.4619220111531703,.1776945670038232,.8689376827307780
2,7,.5921367075267215,-.6852989403572641,.4239569340683376
2,8,.6327822808828976,-.4535987398429535,-.6275625611949157
3,1,.7692986473325980,-.1112391552494526,-.6291307030749834
3,2,.2699431241248678,-.7425824588958932,.6129453495033919
3,3,-.0922288152066703,-.0364732856038677,.9950696182091143
3,4,.1236093248818251,.3082013007025123,.9432564301649573
3,5,.9632072107597497,.2566333876264046,-.0798196310178062
3,6,-.4034290386076995,.4351583284132025,-.8049113243213160
3,7,.0380322719056696,.9992762816788326,-.0006776192291567
3,8,.3049066210044893,-.9140749967993598,-.2673926937929962
4,1,-.4114804540332480,-.1091635848511492,-.9048575289464292
4,2,-.4309895571439615,.9003036269436749,-.0608389755413097
4,3,-.2164746621139132,-.9749405014596441,.0512809835736898
4,4,-.2381578045995813,.2715010011135117,-.9325063359048391
4,5,-.7690415317098069,-.5125074961842185,.3819832311246361
4,6,.2346922039359080,.9719149231270440,.0173479570744943
4,7,.3024735564020926,-.2023784528494670,-.9314250960220720
4,8,-.5343479238611701,.8140131518553736,-.2277166767536748
5,1,-.8759343834013036,.0016638606505800,.4824273909544455
5,2,.8037296587164702,-.0325669539848095,-.5941027093084642
5,3,.5228032728865761,.2198378511687760,.8236188785188081
5,4,-.7354292156350740,-.1689302472387790,.6562060959471687
5,5,-.8969533631987030,.4066020474759900,.1736359387767063
5,6,.8202915869621039,.5429815430026319,.1797018539628191
5,7,.4243637122106352,-.8287273932508440,.3648648344722608
5,8,-.6353441185301364,-.5409286828776158,.5511206865011073
6,1,.1027801958007321,.4652141440818904,.8792110278524248
6,2,-.5636704623673608,.6571027160002982,.5004913890164315
6,3,-.2005237500789044,.5708691604595980,.7961775099124861
6,4,-.5823717266496606,.5677484228441844,.5818117396177513
6,5,-.8712267232938403,-.0826735291838620,-.4838688708637531
6,6,-.7367659731441967,.2816513449441119,.6146937617286008
6,7,-.2866933056546664,.4041479943366414,-.8686031010573645
6,8,-.2647882637317305,-.9173166569400892,.2973505108288769
7,1,-.7762183358838666,.6245908720428477,.0858564942123537
7,2,-.4569872028839663,.6377277731637895,-.6200532104068512
7,3,-.7471462319754327,.4521443109674578,.4871735112921016
7,4,-.3441271070569482,-.4416072206290501,-.8285889191130311
7,5,.0150354277274254,-.0738436872145442,-.9971564800830479
7,6,-.9515229935283362,-.1487277527144769,-.2692286172741957
7,7,.8204472844208819,.5646645716725974,-.0895554296746011
7,8,-.1860765314425117,.9153221131812420,.3571567632955445
8,1,.2553974548005959,.3488433562026504,.9017097387267414
8,2,.8587999838502121,.3140979306902694,-.4047283998868453
8,3,.3479113829310604,-.2556069455883938,.9020103984954768
8,4,.3679942155476052,-.3446414996097903,.8635985722951478
8,5,.6207339520651025,-.1074679030610052,.7766208924342104
8,6,-.8452610644865871,-.4928400708347674,-.2065003570035248
8,7,.3275828352573585,.8458499102445965,.4209838659425776
8,8,.8946716827282031,.3141518380674165,.3176022713444432
