i,j,x,y,z
1,1,-.9061144554035699,-.4218562778287262,.0315257762027262
1,2,-.2464839093005711,-.9642907218196277,-.0968972975293391
1,3,.6611450697812865,.7449895692565427,.0887566245575443
1,4,-.5463960476417566,-.8168737040611371,-.1848478042469132
1,5,.6540296004683305,.2325483144613437,.7198378728244466
1,6,.6221675809853542,-.7655877565626767,.1636547835297225
1,7,-.1045710957207495,.4937680264021013,.8632832802983825
1,8,-.9783751973443504,-.1689888783139303,-.1192674818531982
2,1,.4728344546687582,.7289780035404612,-.4949935846374793
2,2,-.5073073586003378,.4913179920594740,-.7079871994525005
2,3,-.9961669032644992,.0403868126146176,-.0775912766182500
2,4,-.6161224306847328,.7159212803560293,.3284050406746526
2,5,-.6296525115738240,.7026025705201140,.3314925980580919
2,6,-.0780598966587602,-.1054510673987620,.9913560031179947
2,7,.4764820645391618,-.5595599995858394,-.6781279002046691
2,8,.0773364643792707,.6548545136039874,.7517876277844688
3,1,.0763295703574450,-.2758785883368860,.9581569814943138
3,2,-.3483756065560794,-.2980089888732212,.8887210357066182
3,3,.4784405121378141,.8456491629206038,-.2365843815575917
3,4,-.5468637601909705,-.0317806748724126,-.8366182023446816
3,5,.1507881838943176,-.1767466420548105,-.9726374186304998
3,6,.4395191680082940,.4471718699869469,-.7790123360035283
3,7,-.1572012426567371,-.5682594715046985,-.8076935943489824
3,8,-.0792608753137884,-.9732923341903377,.2154524213157425
4,1,-.8936037859665528,-.4328485413075991,.1188040992311583
4,2,-.3472332472710967,-.1112008654938520,.9311624130639014
4,3,-.9232082016550239,-.3714119093104800,.0986904758284226
4,4,.0793885584895165,-.8015830046234490,-.5925893548485328
4,5,.8152995155757161,-.1997529169212646,.5434937645304214
4,6,-.1468308640522602,.0812181423630772,-.9858216424448987
4,7,.0757466758770774,-.8466260960175596,-.5267700585982834
4,8,.7641089497373853,.1628243110997086,-.6242000934365001
5,1,-.0908426241850309,.9704433900245395,-.2235782735170317
5,2,-.4311694471656145,-.9013965181522428,-.0397142908020759
5,3,-.5261048098379931,-.8488361755185230,-.0518736560926279
5,4,-.2378889003377792,-.7253339312505885,.6459872748534978
5,5,.0796117843724202,.7201841876808316,.6892000432411043
5,6,-.7699805326790198,.5200825521681468,-.3696540520887061
5,7,-.1294403823455932,.6140437239505659,.7785855717229466
5,8,-.8914958982438161,.4294629289435720,-.1442104575877217
6,1,.1319086006949468,.3261452622368379,-.9360712520867016
6,2,-.8819736907267611,-.4615910177205275,.0951637600431120
6,3,.9373388166749101,-.2276612340230476,.2637542516767879
6,4,-.5112436242674784,-.5273680335006746,-.6786110181005646
6,5,-.4447351190879412,-.0880782421771311,-.8913208721357430
6,6,-.5801502722202821,-.1423603339517781,.8019720674436677
6,7,-.7200181692025308,-.6640906500105774,.2013887896253524
6,8,-.6339240670841603,-.5866811080763287,.5039301088422959
7,1,-.8200491983395868,-.1249207605006475,-.5584927178563216
7,2,-.5953274757143929,-.2699782788942123,-.7567674184218344
7,3,.0942739506873161,-.9947735016121222,-.0392186526051384
7,4,.0082001968184649,.7727824380038164,.6346180428297135
7,5,-.0287917406088869,-.2051167760904213,.9783139290835956
7,6,-.3184011159338530,-.0653948245192708,-.9456977563144426
7,7,-.6824946291952730,.7291983824771431,.0497071434738000
7,8,.1576931904727631,-.5503150985595525,-.8199305763147944
8,1,.0031536786772265,.1810630482662588,.9834664340298205
8,2,-.1314589800846140,.5574338379671734,-.8197475543387124
8,3,.7478810624411599,.3587482567841984,.5585459736639240
8,4,-.3655513405795886,-.2436986474505331,.8983224291039640
8,5,.0711516958255099,-.2715217480856911,.9597986124691182
8,6,.7771259657850371,.6157688536502753,.1300151997917904
8,7,.1991826326350009,.9092336440421667,.3655413237903382
8,8,-.9340682364644510,.2769641439982204,-.2254049524023898
