tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0502298583984383,.0007320776869538,.4799435828624996,.0000158664275653
1,3.6666666666666665,.0502013916015628,.0007166247574668,.4778679199714094,.0000173378648959
2,3.3333333333333335,.0480874755859375,.0006688196277176,.4741999603623379,.0000186122925743
3,3.0000000000000000,.0471506347656251,.0006520149871226,.4690809450956362,.0000207603996179
4,2.6666666666666670,.0470644531250000,.0006846749255698,.4621922440939346,.0000228226304385
5,2.3333333333333330,.0461857666015625,.0006468760182131,.4528078842119739,.0000256774626560
6,2.0000000000000000,.0413840332031250,.0005798420039537,.4397287161999389,.0000293833188488
7,1.6666666666666665,.0379060302734375,.0005342019532718,.4212387929462334,.0000337222632586
8,1.3333333333333335,.0344319580078125,.0004923527066483,.3941851888714847,.0000391969175072
9,1.0000000000000000,.0287110351562500,.0003953135535068,.3549189223421826,.0000442436021421
10,.6666666666666665,.0228136718750000,.0003158307912072,.2999524810660449,.0000500621162701
11,.3333333333333335,.0163293457031250,.0002288460402525,.2328604582851782,.0000540567327538
12,.0000000000000000,.0124968750000000,.0001793137353514,.1748720458984375,.0000598763794025
