tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0517258300781246,.0007240750540664,.8448664095171396,.0000293384553806
1,3.5555555555555554,.0505126464843750,.0007182074473424,.8287741963684508,.0000321643802857
2,3.1111111111111112,.0474936279296875,.0006652595839976,.8062723318298400,.0000354252099361
3,2.6666666666666670,.0466505371093750,.0006663652499245,.7767868616477974,.0000406177818083
4,2.2222222222222223,.0434395019531250,.0006152842962223,.7373785631253555,.0000460078355129
5,1.7777777777777777,.0387988037109375,.0005546672446139,.6833212013930015,.0000532711702226
6,1.3333333333333335,.0340979248046875,.0004737547468088,.6067272484795070,.0000611407173964
7,.8888888888888888,.0261829589843750,.0003674458019557,.4976522235576853,.0000680860502277
8,.4444444444444446,.0190931396484375,.0002690713993336,.3526506118671622,.0000694785446141
9,.0000000000000000,.0134470458984375,.0001910972080239,.1919996093750000,.0000620064060987
