tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0518678710937493,.0007422965517552,.8449340979184889,.0000296363580453
1,3.6666666666666665,.0494510742187500,.0007035411771159,.8328885627424810,.0000319057388446
2,3.3333333333333335,.0492084716796874,.0006943318182054,.8174581648393170,.0000347963961624
3,3.0000000000000000,.0489721679687500,.0006925309245808,.7984597200485017,.0000374108874170
4,2.6666666666666670,.0463156494140625,.0006556811791413,.7752604598084344,.0000417424717301
5,2.3333333333333330,.0431433593750000,.0006180518555528,.7462364606787208,.0000464803527905
6,2.0000000000000000,.0421585449218750,.0006021932289078,.7094529768802070,.0000511746109497
7,1.6666666666666665,.0389487304687500,.0005601644883565,.6618324092635148,.0000568400646685
8,1.3333333333333335,.0337381103515625,.0004798518479532,.5990658419753956,.0000634747392651
9,1.0000000000000000,.0287917724609375,.0004141434003352,.5163469110402724,.0000690507561088
10,.6666666666666665,.0231014648437500,.0003263475974280,.4105145338839681,.0000716999376130
11,.3333333333333335,.0179834716796875,.0002525391343435,.2876640895223996,.0000678995339104
12,.0000000000000000,.0141838134765625,.0001992158380471,.1671010742187500,.0000596279945818
