tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0505815673828094,.0007170660049394,.4799283460210958,.0000160290342203
1,3.7333333333333334,.0492366455078112,.0006846200936392,.4781259158509092,.0000171776860669
2,3.4666666666666668,.0502279296874996,.0007031968886488,.4753808921654006,.0000183869792017
3,3.2000000000000002,.0498139648437497,.0006989029617483,.4717611573468683,.0000198557585118
4,2.9333333333333336,.0481961669921873,.0006792270342648,.4671261384910406,.0000214844154025
5,2.6666666666666670,.0458473876953125,.0006367606725495,.4613069292820039,.0000233420196748
6,2.3999999999999999,.0447836181640624,.0006349194651008,.4537389853723653,.0000255844189364
7,2.1333333333333333,.0430929931640624,.0006194744692815,.4439342354685002,.0000286454793605
8,1.8666666666666667,.0421004882812500,.0005937972119468,.4309418839615063,.0000318158913625
9,1.6000000000000001,.0393935302734374,.0005661595002891,.4134596120708937,.0000356080373590
10,1.3333333333333335,.0355193603515625,.0005075825362503,.3896208605757979,.0000403476900309
11,1.0666666666666669,.0304262695312500,.0004317685465100,.3571680872418286,.0000444218379281
12,.7999999999999998,.0266433837890625,.0003720613311259,.3137870978383555,.0000488297928353
13,.5333333333333332,.0213546630859375,.0002990809502532,.2597343475521399,.0000515298844690
14,.2666666666666666,.0168781494140625,.0002430326810903,.2015834318346350,.0000530801017442
15,.0000000000000000,.0135310546875000,.0001932770591504,.1567726562500000,.0000573833840142
