tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0513694824218733,.0007477446815866,1.1423055209000930,.0000741194227077
1,3.7666666666666666,.0521316406249987,.0007524087060831,1.1512626966133717,.0000772086140694
2,3.5333333333333332,.0498527099609353,.0007001052629036,1.1617995809111985,.0000806137578300
3,3.2999999999999998,.0499492187499990,.0007112141311210,1.1740631705551061,.0000860696402554
4,3.0666666666666664,.0499264404296856,.0006893794140590,1.1885916246173447,.0000906726740472
5,2.8333333333333330,.0480726318359357,.0006898780130720,1.2059715668580311,.0000992528763396
6,2.6000000000000001,.0472453857421862,.0006692356771490,1.2267938261868714,.0001069061551464
7,2.3666666666666667,.0480591308593736,.0006741250233764,1.2522778063069062,.0001189230685304
8,2.1333333333333333,.0459551513671851,.0006560801619664,1.2836452723231675,.0001322447381625
9,1.8999999999999999,.0441493652343731,.0006249805277175,1.3240905899603683,.0001488700025716
10,1.6666666666666665,.0442749755859360,.0006111941930481,1.3776214112673824,.0001765047189964
11,1.4333333333333331,.0409773681640609,.0005883654397612,1.4492229585591525,.0002149729235650
12,1.2000000000000002,.0375285156249987,.0005166064853201,1.5522938923500322,.0002751848467133
13,.9666666666666668,.0358841308593735,.0005113967205013,1.7090926293956938,.0003817198892929
14,.7333333333333334,.0314499755859366,.0004606126636168,1.9682537175498547,.0005842599220451
15,.5000000000000000,.0286211669921863,.0004048463276408,2.4605140702070529,.0010436820305767
