tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0401062500000008,.0005703032954522,.1818796875000000,.0003423211031486
1,3.7083333333333335,.0330937500000009,.0004742952579279,.1405625000000000,.0003117660178453
2,3.4166666666666665,.0284375000000006,.0004081411004981,.1145648437500000,.0002873912702629
3,3.1250000000000000,.0256562500000005,.0003709547318543,.0980445312500000,.0002688126042338
4,2.8333333333333330,.0232437500000003,.0003359305402930,.0861531250000000,.0002526288043659
5,2.5416666666666670,.0214171875000004,.0003173180896273,.0765945312500000,.0002401790245793
6,2.2500000000000000,.0200203125000003,.0002956689475311,.0693492187500000,.0002289176576398
7,1.9583333333333335,.0189734375000002,.0002781817217111,.0636546875000000,.0002216763012686
8,1.6666666666666665,.0182609375000002,.0002653274373218,.0585250000000000,.0002123773420437
9,1.3750000000000000,.0175562500000002,.0002517605324119,.0545859375000000,.0002036218429485
10,1.0833333333333335,.0167609375000002,.0002443631758613,.0512929687500000,.0001978669085719
11,.7916666666666665,.0163312500000003,.0002386378079729,.0481523437500000,.0001929699811415
12,.5000000000000000,.0159437500000002,.0002371612624148,.0450140625000000,.0001865377467202
