tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0377906250000004,.0005354919926487,.1983257812500000,.0003240771175549
1,3.5625000000000000,.0293718750000003,.0004258979177744,.1540718750000000,.0002989701461279
2,3.1250000000000000,.0238796875000001,.0003549563677218,.1268328125000000,.0002790762227594
3,2.6875000000000000,.0205062500000000,.0003049713100748,.1086609375000000,.0002610118980324
4,2.2500000000000000,.0178046875000001,.0002598506708354,.0957250000000000,.0002438234337829
5,1.8125000000000000,.0158437500000001,.0002340220427126,.0856523437500000,.0002406315497491
6,1.3750000000000000,.0140203125000001,.0002090676232074,.0777468750000000,.0002278908838654
7,.9375000000000000,.0125796875000001,.0001901288404782,.0720187500000000,.0002196034074190
8,.5000000000000000,.0117750000000001,.0001780301873272,.0666820312500000,.0002141951231580
