i,j,bond,cluster
1,1,0,1
1,2,0,2
1,3,0,3
1,4,0,4
1,5,0,5
1,6,0,6
1,7,1,7
1,8,0,7
2,1,10,8
2,2,0,9
2,3,0,10
2,4,0,11
2,5,0,12
2,6,0,13
2,7,0,14
2,8,1,8
3,1,0,8
3,2,0,15
3,3,10,16
3,4,0,17
3,5,0,18
3,6,0,19
3,7,0,20
3,8,0,21
4,1,0,22
4,2,10,23
4,3,0,16
4,4,0,24
4,5,0,25
4,6,0,26
4,7,0,27
4,8,1,22
5,1,0,28
5,2,1,23
5,3,0,23
5,4,0,29
5,5,0,30
5,6,10,31
5,7,0,32
5,8,0,33
6,1,0,34
6,2,1,35
6,3,0,35
6,4,0,36
6,5,0,37
6,6,0,31
6,7,0,38
6,8,0,39
7,1,10,40
7,2,0,41
7,3,10,42
7,4,0,43
7,5,0,44
7,6,0,45
7,7,0,46
7,8,10,47
8,1,1,40
8,2,0,40
8,3,0,42
8,4,0,48
8,5,0,49
8,6,10,6
8,7,0,50
8,8,0,47
