i,j,bond,cluster
1,1,0,1
1,2,0,2
1,3,0,3
1,4,0,4
1,5,0,5
1,6,0,6
1,7,0,7
1,8,0,8
2,1,10,9
2,2,1,10
2,3,0,10
2,4,0,11
2,5,10,12
2,6,0,13
2,7,0,14
2,8,0,15
3,1,0,9
3,2,0,16
3,3,0,17
3,4,1,12
3,5,0,12
3,6,0,18
3,7,0,19
3,8,1,9
4,1,0,20
4,2,0,21
4,3,10,22
4,4,0,23
4,5,0,24
4,6,0,25
4,7,1,26
4,8,0,26
5,1,0,27
5,2,0,28
5,3,1,22
5,4,1,22
5,5,0,22
5,6,0,29
5,7,0,30
5,8,0,31
6,1,0,32
6,2,0,33
6,3,0,34
6,4,0,35
6,5,0,36
6,6,0,37
6,7,0,38
6,8,0,39
7,1,0,40
7,2,0,41
7,3,0,42
7,4,0,43
7,5,0,44
7,6,10,6
7,7,0,45
7,8,0,46
8,1,0,47
8,2,0,48
8,3,0,49
8,4,10,4
8,5,0,50
8,6,10,6
8,7,0,51
8,8,0,52
