i,j,bond,cluster
1,1,0,1
1,2,0,2
1,3,0,3
1,4,0,4
1,5,0,5
1,6,11,6
1,7,10,6
1,8,1,1
2,1,10,7
2,2,0,8
2,3,10,9
2,4,0,10
2,5,0,11
2,6,1,6
2,7,0,6
2,8,0,12
3,1,10,7
3,2,0,13
3,3,10,9
3,4,0,14
3,5,10,15
3,6,0,16
3,7,0,17
3,8,0,18
4,1,0,7
4,2,0,19
4,3,0,9
4,4,10,20
4,5,0,15
4,6,10,21
4,7,0,22
4,8,0,23
5,1,10,24
5,2,0,25
5,3,0,26
5,4,0,20
5,5,0,27
5,6,0,21
5,7,0,28
5,8,1,24
6,1,0,24
6,2,0,29
6,3,10,30
6,4,0,31
6,5,0,32
6,6,1,33
6,7,1,33
6,8,0,33
7,1,0,34
7,2,0,35
7,3,0,30
7,4,0,36
7,5,0,37
7,6,1,38
7,7,11,38
7,8,0,38
8,1,0,39
8,2,0,40
8,3,0,41
8,4,1,42
8,5,0,42
8,6,0,43
8,7,0,38
8,8,0,44
