i,j,bond,cluster
1,1,0,1
1,2,0,2
1,3,0,3
1,4,0,4
1,5,1,5
1,6,0,5
1,7,0,6
1,8,0,7
2,1,0,8
2,2,0,9
2,3,0,10
2,4,0,11
2,5,0,12
2,6,10,13
2,7,1,13
2,8,10,13
3,1,0,14
3,2,0,15
3,3,10,16
3,4,0,17
3,5,10,18
3,6,1,13
3,7,1,13
3,8,0,13
4,1,0,19
4,2,10,20
4,3,0,16
4,4,0,21
4,5,0,18
4,6,0,22
4,7,0,23
4,8,0,24
5,1,0,25
5,2,1,20
5,3,0,20
5,4,0,26
5,5,0,27
5,6,0,28
5,7,0,29
5,8,0,30
6,1,1,31
6,2,0,31
6,3,0,32
6,4,0,33
6,5,0,34
6,6,0,35
6,7,0,36
6,8,0,37
7,1,1,38
7,2,0,38
7,3,0,39
7,4,0,40
7,5,0,41
7,6,0,42
7,7,1,43
7,8,10,43
8,1,10,1
8,2,0,44
8,3,0,45
8,4,10,4
8,5,1,46
8,6,0,46
8,7,0,47
8,8,0,43
