i,j,bond,cluster
1,1,10,1
1,2,0,2
1,3,10,3
1,4,10,4
1,5,0,5
1,6,0,6
1,7,0,7
1,8,1,1
2,1,0,1
2,2,0,8
2,3,0,3
2,4,10,4
2,5,0,9
2,6,10,10
2,7,0,11
2,8,10,12
3,1,0,13
3,2,0,14
3,3,1,4
3,4,0,4
3,5,0,15
3,6,0,10
3,7,11,12
3,8,10,12
4,1,0,16
4,2,0,17
4,3,0,18
4,4,0,19
4,5,0,20
4,6,0,21
4,7,0,12
4,8,10,12
5,1,0,22
5,2,0,23
5,3,0,24
5,4,10,25
5,5,0,26
5,6,0,27
5,7,0,28
5,8,0,12
6,1,10,29
6,2,0,30
6,3,0,31
6,4,10,25
6,5,1,32
6,6,10,32
6,7,0,33
6,8,0,34
7,1,0,29
7,2,0,35
7,3,0,36
7,4,0,25
7,5,1,32
7,6,0,32
7,7,10,37
7,8,11,29
8,1,10,1
8,2,0,38
8,3,0,39
8,4,0,40
8,5,0,41
8,6,10,6
8,7,0,37
8,8,0,29
