i,j,bond,cluster
1,1,0,1
1,2,0,2
1,3,0,3
1,4,0,4
1,5,0,5
1,6,0,6
1,7,0,7
1,8,0,8
2,1,0,9
2,2,0,10
2,3,0,11
2,4,0,12
2,5,10,13
2,6,0,14
2,7,0,15
2,8,1,9
3,1,0,16
3,2,10,17
3,3,10,18
3,4,10,18
3,5,11,13
3,6,0,13
3,7,0,19
3,8,1,16
4,1,1,17
4,2,0,17
4,3,1,18
4,4,0,18
4,5,0,13
4,6,10,20
4,7,0,21
4,8,1,17
5,1,0,22
5,2,0,23
5,3,0,24
5,4,10,25
5,5,0,26
5,6,0,20
5,7,11,27
5,8,0,27
6,1,0,27
6,2,0,28
6,3,0,29
6,4,0,25
6,5,0,30
6,6,0,31
6,7,11,27
6,8,1,27
7,1,1,32
7,2,0,32
7,3,0,33
7,4,0,34
7,5,0,35
7,6,0,36
7,7,0,27
7,8,0,37
8,1,10,1
8,2,0,38
8,3,0,39
8,4,0,40
8,5,0,41
8,6,0,42
8,7,0,43
8,8,10,8
