i,j,bond,cluster
1,1,11,1
1,2,1,1
1,3,0,1
1,4,0,2
1,5,0,3
1,6,0,4
1,7,0,5
1,8,0,6
2,1,0,1
2,2,1,7
2,3,0,7
2,4,0,8
2,5,0,9
2,6,0,10
2,7,0,11
2,8,10,12
3,1,0,13
3,2,0,14
3,3,0,15
3,4,0,16
3,5,1,17
3,6,0,17
3,7,0,18
3,8,0,12
4,1,0,19
4,2,0,20
4,3,0,21
4,4,0,22
4,5,0,23
4,6,0,24
4,7,0,25
4,8,0,26
5,1,0,27
5,2,1,28
5,3,0,28
5,4,0,29
5,5,0,30
5,6,0,31
5,7,0,32
5,8,10,33
6,1,0,34
6,2,0,35
6,3,0,36
6,4,0,37
6,5,0,38
6,6,0,39
6,7,0,40
6,8,0,33
7,1,0,41
7,2,0,42
7,3,1,43
7,4,0,43
7,5,1,44
7,6,1,44
7,7,1,44
7,8,0,44
8,1,0,45
8,2,0,46
8,3,0,47
8,4,0,48
8,5,0,49
8,6,0,50
8,7,0,51
8,8,0,52
