i,j,bond,cluster
1,1,1,1
1,2,1,1
1,3,11,1
1,4,0,1
1,5,1,2
1,6,1,2
1,7,0,2
1,8,0,3
2,1,10,4
2,2,0,5
2,3,0,1
2,4,0,6
2,5,0,7
2,6,0,8
2,7,0,9
2,8,1,4
3,1,0,4
3,2,10,10
3,3,1,11
3,4,1,11
3,5,10,11
3,6,1,12
3,7,0,12
3,8,10,13
4,1,0,14
4,2,0,10
4,3,0,15
4,4,10,16
4,5,0,11
4,6,10,17
4,7,0,18
4,8,0,13
5,1,0,19
5,2,0,20
5,3,0,21
5,4,11,16
5,5,0,16
5,6,0,17
5,7,0,22
5,8,0,23
6,1,0,24
6,2,0,25
6,3,0,26
6,4,0,16
6,5,0,27
6,6,0,28
6,7,0,29
6,8,0,30
7,1,0,31
7,2,0,32
7,3,0,33
7,4,0,34
7,5,0,35
7,6,0,36
7,7,0,37
7,8,10,38
8,1,0,39
8,2,0,40
8,3,0,41
8,4,0,42
8,5,0,43
8,6,0,44
8,7,0,45
8,8,0,38
