i,j,bond,cluster
1,1,1,1
1,2,10,1
1,3,0,2
1,4,0,3
1,5,0,4
1,6,1,5
1,7,0,5
1,8,1,1
2,1,0,6
2,2,0,1
2,3,0,7
2,4,0,8
2,5,0,9
2,6,0,10
2,7,0,11
2,8,0,12
3,1,0,13
3,2,0,14
3,3,10,15
3,4,0,16
3,5,0,17
3,6,10,18
3,7,0,19
3,8,0,20
4,1,0,21
4,2,0,22
4,3,10,15
4,4,0,23
4,5,10,24
4,6,0,18
4,7,0,25
4,8,0,26
5,1,0,27
5,2,0,28
5,3,0,15
5,4,0,29
5,5,0,24
5,6,0,30
5,7,0,31
5,8,0,32
6,1,1,33
6,2,10,33
6,3,0,34
6,4,0,35
6,5,1,36
6,6,0,36
6,7,0,37
6,8,0,38
7,1,0,39
7,2,0,33
7,3,10,40
7,4,0,41
7,5,10,42
7,6,0,43
7,7,0,44
7,8,0,45
8,1,1,46
8,2,0,46
8,3,0,40
8,4,0,47
8,5,0,42
8,6,0,48
8,7,0,49
8,8,0,50
