i,j,bond,cluster
1,1,0,1
1,2,10,2
1,3,10,3
1,4,10,4
1,5,10,5
1,6,0,6
1,7,0,7
1,8,1,1
2,1,0,8
2,2,10,2
2,3,0,3
2,4,0,4
2,5,0,5
2,6,0,9
2,7,0,10
2,8,0,11
3,1,10,12
3,2,1,2
3,3,0,2
3,4,0,13
3,5,10,14
3,6,0,15
3,7,0,16
3,8,0,17
4,1,1,12
4,2,0,12
4,3,0,18
4,4,0,19
4,5,0,14
4,6,10,6
4,7,0,20
4,8,0,21
5,1,0,22
5,2,0,23
5,3,10,24
5,4,0,25
5,5,0,26
5,6,10,6
5,7,0,27
5,8,0,28
6,1,1,29
6,2,0,29
6,3,1,24
6,4,0,24
6,5,0,30
6,6,10,6
6,7,0,31
6,8,0,32
7,1,0,33
7,2,0,34
7,3,10,35
7,4,1,36
7,5,0,36
7,6,11,6
7,7,0,6
7,8,10,1
8,1,0,37
8,2,1,35
8,3,0,35
8,4,0,38
8,5,0,39
8,6,10,6
8,7,0,40
8,8,10,1
