i,j,bond,cluster
1,1,0,1
1,2,1,2
1,3,1,2
1,4,1,2
1,5,0,2
1,6,10,3
1,7,0,4
1,8,0,5
2,1,10,6
2,2,0,7
2,3,10,8
2,4,0,9
2,5,1,3
2,6,0,3
2,7,0,10
2,8,0,11
3,1,0,6
3,2,0,12
3,3,10,8
3,4,10,13
3,5,1,14
3,6,11,14
3,7,10,14
3,8,0,15
4,1,0,16
4,2,0,17
4,3,10,8
4,4,0,13
4,5,10,18
4,6,0,14
4,7,1,14
4,8,0,14
5,1,0,19
5,2,1,8
5,3,0,8
5,4,1,18
5,5,1,18
5,6,0,18
5,7,10,20
5,8,0,21
6,1,0,22
6,2,1,23
6,3,0,23
6,4,10,24
6,5,0,25
6,6,1,20
6,7,0,20
6,8,0,26
7,1,0,27
7,2,1,28
7,3,0,28
7,4,0,24
7,5,0,29
7,6,1,30
7,7,0,30
7,8,0,31
8,1,0,32
8,2,0,33
8,3,0,34
8,4,0,35
8,5,0,36
8,6,0,37
8,7,0,38
8,8,0,39
