i,j,bond,cluster
1,1,0,1
1,2,0,2
1,3,0,3
1,4,1,4
1,5,10,4
1,6,1,5
1,7,10,5
1,8,10,6
2,1,10,7
2,2,0,8
2,3,0,9
2,4,0,10
2,5,1,4
2,6,0,4
2,7,10,5
2,8,10,6
3,1,0,7
3,2,0,11
3,3,0,12
3,4,0,13
3,5,0,14
3,6,0,15
3,7,0,5
3,8,0,6
4,1,10,16
4,2,10,16
4,3,0,17
4,4,0,18
4,5,0,19
4,6,0,20
4,7,0,21
4,8,0,22
5,1,11,16
5,2,11,16
5,3,1,16
5,4,0,16
5,5,0,23
5,6,0,24
5,7,11,25
5,8,0,25
6,1,1,16
6,2,0,16
6,3,0,26
6,4,0,27
6,5,10,28
6,6,1,25
6,7,0,25
6,8,0,29
7,1,0,30
7,2,1,31
7,3,0,31
7,4,0,32
7,5,1,28
7,6,10,28
7,7,1,33
7,8,0,33
8,1,0,34
8,2,0,35
8,3,10,3
8,4,10,4
8,5,0,36
8,6,0,28
8,7,0,37
8,8,0,38
