i,j,bond,cluster
1,1,0,1
1,2,10,2
1,3,0,3
1,4,11,4
1,5,10,4
1,6,0,5
1,7,10,6
1,8,10,2
2,1,1,2
2,2,10,2
2,3,1,4
2,4,0,4
2,5,0,4
2,6,0,7
2,7,0,6
2,8,1,2
3,1,0,8
3,2,11,2
3,3,0,2
3,4,10,9
3,5,1,10
3,6,11,10
3,7,0,10
3,8,10,2
4,1,11,2
4,2,10,2
4,3,0,11
4,4,0,9
4,5,0,12
4,6,0,10
4,7,0,13
4,8,11,2
5,1,0,2
5,2,0,2
5,3,0,14
5,4,0,15
5,5,0,16
5,6,0,17
5,7,0,18
5,8,0,2
6,1,0,19
6,2,1,20
6,3,0,20
6,4,0,21
6,5,0,22
6,6,0,23
6,7,0,24
6,8,0,25
7,1,0,26
7,2,10,3
7,3,0,27
7,4,0,28
7,5,0,29
7,6,0,30
7,7,1,31
7,8,0,31
8,1,0,32
8,2,1,3
8,3,10,3
8,4,0,33
8,5,1,34
8,6,0,34
8,7,10,6
8,8,0,35
