i,j,bond,cluster
1,1,0,1
1,2,1,2
1,3,0,2
1,4,0,3
1,5,0,4
1,6,0,5
1,7,0,6
1,8,0,7
2,1,0,8
2,2,0,9
2,3,0,10
2,4,0,11
2,5,0,12
2,6,0,13
2,7,10,14
2,8,0,15
3,1,1,16
3,2,0,16
3,3,0,17
3,4,0,18
3,5,0,19
3,6,0,20
3,7,0,14
3,8,0,21
4,1,0,22
4,2,0,23
4,3,0,24
4,4,0,25
4,5,10,26
4,6,1,27
4,7,0,27
4,8,11,22
5,1,0,28
5,2,1,26
5,3,1,26
5,4,1,26
5,5,0,26
5,6,0,29
5,7,10,30
5,8,0,22
6,1,0,31
6,2,0,32
6,3,10,33
6,4,10,33
6,5,0,34
6,6,0,35
6,7,0,30
6,8,0,36
7,1,11,37
7,2,0,37
7,3,1,33
7,4,0,33
7,5,10,38
7,6,0,39
7,7,0,40
7,8,1,37
8,1,0,37
8,2,0,41
8,3,10,2
8,4,1,38
8,5,0,38
8,6,0,42
8,7,0,43
8,8,10,7
