i,j,bond,cluster
1,1,0,1
1,2,10,2
1,3,1,3
1,4,0,3
1,5,1,4
1,6,1,4
1,7,0,4
1,8,11,1
2,1,0,5
2,2,1,2
2,3,0,2
2,4,0,6
2,5,0,7
2,6,0,8
2,7,0,9
2,8,0,1
3,1,0,10
3,2,0,11
3,3,0,12
3,4,0,13
3,5,10,14
3,6,1,10
3,7,11,10
3,8,1,10
4,1,1,15
4,2,0,15
4,3,0,16
4,4,10,17
4,5,0,14
4,6,0,18
4,7,0,10
4,8,0,19
5,1,0,20
5,2,0,21
5,3,1,17
5,4,10,17
5,5,10,22
5,6,0,23
5,7,0,24
5,8,0,25
6,1,11,26
6,2,0,26
6,3,0,27
6,4,0,17
6,5,0,22
6,6,0,28
6,7,0,29
6,8,1,26
7,1,0,26
7,2,0,30
7,3,0,31
7,4,10,3
7,5,0,32
7,6,0,33
7,7,0,34
7,8,0,35
8,1,0,36
8,2,0,37
8,3,11,3
8,4,11,3
8,5,0,3
8,6,0,38
8,7,0,39
8,8,0,40
