i,j,bond,cluster
1,1,0,1
1,2,0,1
1,3,0,1
1,4,0,2
1,5,10,3
1,6,0,4
1,7,0,5
1,8,0,6
2,1,0,7
2,2,0,8
2,3,0,9
2,4,0,10
2,5,0,3
2,6,1,11
2,7,1,11
2,8,0,11
3,1,0,12
3,2,10,13
3,3,0,14
3,4,0,15
3,5,0,16
3,6,10,17
3,7,0,18
3,8,10,19
4,1,1,13
4,2,0,13
4,3,0,20
4,4,0,21
4,5,0,22
4,6,1,17
4,7,0,17
4,8,0,19
5,1,0,23
5,2,0,24
5,3,0,25
5,4,10,26
5,5,10,27
5,6,0,28
5,7,1,29
5,8,0,29
6,1,10,1
6,2,1,30
6,3,0,30
6,4,0,26
6,5,10,27
6,6,10,27
6,7,0,31
6,8,10,32
7,1,10,1
7,2,0,33
7,3,10,1
7,4,1,27
7,5,11,27
7,6,0,27
7,7,0,34
7,8,0,32
8,1,11,1
8,2,11,1
8,3,11,1
8,4,0,1
8,5,0,27
8,6,0,35
8,7,0,36
8,8,0,37
