i,j,bond,cluster
1,1,0,1
1,2,11,2
1,3,0,2
1,4,0,3
1,5,0,4
1,6,0,5
1,7,0,6
1,8,0,7
2,1,0,8
2,2,10,2
2,3,0,9
2,4,0,10
2,5,0,11
2,6,1,12
2,7,1,12
2,8,10,12
3,1,0,12
3,2,0,2
3,3,0,13
3,4,10,14
3,5,0,15
3,6,0,16
3,7,0,17
3,8,1,12
4,1,0,18
4,2,0,19
4,3,0,20
4,4,10,14
4,5,0,21
4,6,0,22
4,7,0,23
4,8,0,24
5,1,0,25
5,2,0,26
5,3,10,27
5,4,0,14
5,5,0,28
5,6,0,29
5,7,0,30
5,8,0,31
6,1,0,32
6,2,0,33
6,3,0,27
6,4,0,34
6,5,0,35
6,6,0,36
6,7,0,37
6,8,0,38
7,1,0,39
7,2,1,40
7,3,1,40
7,4,0,40
7,5,0,41
7,6,0,42
7,7,0,43
7,8,10,7
8,1,0,7
8,2,10,2
8,3,10,2
8,4,0,44
8,5,0,45
8,6,0,46
8,7,0,47
8,8,11,7
