i,j,bond,cluster
1,1,0,1
1,2,10,2
1,3,0,3
1,4,1,4
1,5,0,4
1,6,0,5
1,7,10,6
1,8,10,6
2,1,0,7
2,2,0,2
2,3,1,8
2,4,0,8
2,5,0,9
2,6,1,6
2,7,1,6
2,8,0,6
3,1,0,10
3,2,1,11
3,3,0,11
3,4,0,12
3,5,1,13
3,6,10,13
3,7,0,14
3,8,0,15
4,1,10,16
4,2,0,17
4,3,1,18
4,4,0,18
4,5,0,19
4,6,1,13
4,7,0,13
4,8,10,16
5,1,10,16
5,2,10,20
5,3,1,21
5,4,10,21
5,5,1,22
5,6,0,22
5,7,10,16
5,8,11,16
6,1,0,16
6,2,1,20
6,3,0,20
6,4,0,21
6,5,0,23
6,6,1,16
6,7,1,16
6,8,0,16
7,1,0,24
7,2,0,25
7,3,0,26
7,4,0,27
7,5,11,28
7,6,10,28
7,7,0,29
7,8,0,30
8,1,0,6
8,2,0,31
8,3,10,3
8,4,10,4
8,5,1,28
8,6,1,28
8,7,0,28
8,8,11,6
