i,j,bond,cluster
1,1,1,1
1,2,0,1
1,3,0,2
1,4,10,3
1,5,0,4
1,6,10,3
1,7,0,5
1,8,0,6
2,1,0,7
2,2,0,8
2,3,0,9
2,4,1,3
2,5,1,3
2,6,0,3
2,7,0,10
2,8,0,11
3,1,0,12
3,2,0,13
3,3,0,14
3,4,10,15
3,5,0,16
3,6,0,17
3,7,0,18
3,8,0,19
4,1,10,20
4,2,0,21
4,3,1,15
4,4,0,15
4,5,0,22
4,6,0,23
4,7,0,24
4,8,0,25
5,1,0,20
5,2,10,26
5,3,0,27
5,4,0,28
5,5,0,29
5,6,10,30
5,7,1,31
5,8,0,31
6,1,1,26
6,2,1,26
6,3,10,26
6,4,0,32
6,5,1,30
6,6,0,30
6,7,0,33
6,8,0,34
7,1,0,35
7,2,0,36
7,3,10,26
7,4,0,37
7,5,1,38
7,6,10,38
7,7,0,39
7,8,10,6
8,1,10,1
8,2,10,1
8,3,0,26
8,4,0,40
8,5,10,4
8,6,0,38
8,7,0,41
8,8,10,6
