i,j,bond,cluster
1,1,0,1
1,2,1,2
1,3,10,2
1,4,0,3
1,5,0,4
1,6,0,5
1,7,0,6
1,8,0,7
2,1,0,8
2,2,0,9
2,3,0,2
2,4,0,10
2,5,11,11
2,6,0,11
2,7,0,12
2,8,0,13
3,1,0,14
3,2,0,15
3,3,0,16
3,4,0,17
3,5,10,11
3,6,0,18
3,7,10,19
3,8,0,20
4,1,1,21
4,2,0,21
4,3,0,22
4,4,1,11
4,5,0,11
4,6,0,23
4,7,1,19
4,8,10,19
5,1,0,24
5,2,1,25
5,3,1,25
5,4,11,25
5,5,0,25
5,6,0,26
5,7,0,27
5,8,0,19
6,1,0,28
6,2,0,29
6,3,0,30
6,4,0,25
6,5,0,31
6,6,0,32
6,7,0,33
6,8,0,34
7,1,0,35
7,2,0,36
7,3,0,37
7,4,1,38
7,5,10,38
7,6,0,39
7,7,0,40
7,8,0,41
8,1,0,42
8,2,0,43
8,3,10,2
8,4,0,44
8,5,0,38
8,6,0,45
8,7,0,46
8,8,0,47
