i,j,bond,cluster
1,1,1,1
1,2,0,1
1,3,10,2
1,4,0,3
1,5,0,4
1,6,10,5
1,7,0,6
1,8,0,7
2,1,0,8
2,2,1,2
2,3,0,2
2,4,0,9
2,5,1,5
2,6,10,5
2,7,0,10
2,8,0,11
3,1,0,12
3,2,1,13
3,3,0,13
3,4,0,14
3,5,0,15
3,6,0,5
3,7,1,16
3,8,0,16
4,1,0,17
4,2,10,18
4,3,11,19
4,4,0,19
4,5,0,20
4,6,10,21
4,7,0,22
4,8,0,23
5,1,0,24
5,2,0,18
5,3,0,19
5,4,10,25
5,5,0,26
5,6,0,21
5,7,0,27
5,8,10,28
6,1,11,28
6,2,0,28
6,3,0,29
6,4,0,25
6,5,0,30
6,6,0,31
6,7,0,32
6,8,1,28
7,1,0,28
7,2,0,33
7,3,0,34
7,4,0,35
7,5,1,36
7,6,0,36
7,7,0,37
7,8,10,38
8,1,10,1
8,2,11,1
8,3,0,1
8,4,1,39
8,5,0,39
8,6,0,40
8,7,0,41
8,8,0,38
