i,j,bond,cluster
1,1,10,1
1,2,0,2
1,3,0,3
1,4,0,4
1,5,0,5
1,6,0,6
1,7,0,7
1,8,10,8
2,1,1,1
2,2,1,1
2,3,0,1
2,4,0,9
2,5,0,10
2,6,0,11
2,7,0,12
2,8,0,8
3,1,0,13
3,2,0,14
3,3,0,15
3,4,10,16
3,5,10,17
3,6,0,18
3,7,0,19
3,8,10,20
4,1,10,20
4,2,1,21
4,3,0,21
4,4,0,16
4,5,10,17
4,6,0,22
4,7,0,23
4,8,11,20
5,1,0,20
5,2,0,24
5,3,0,25
5,4,10,26
5,5,0,17
5,6,0,27
5,7,0,28
5,8,11,20
6,1,0,29
6,2,0,30
6,3,0,31
6,4,0,26
6,5,0,32
6,6,1,33
6,7,0,33
6,8,0,20
7,1,1,34
7,2,1,34
7,3,10,34
7,4,1,5
7,5,10,5
7,6,0,35
7,7,1,36
7,8,10,36
8,1,0,37
8,2,0,38
8,3,0,34
8,4,0,39
8,5,10,5
8,6,1,40
8,7,0,40
8,8,0,36
