i,j,bond,cluster
1,1,0,1
1,2,0,2
1,3,0,3
1,4,0,4
1,5,10,5
1,6,0,6
1,7,1,7
1,8,0,7
2,1,0,8
2,2,0,9
2,3,0,10
2,4,1,5
2,5,10,5
2,6,0,11
2,7,0,12
2,8,0,13
3,1,0,14
3,2,0,15
3,3,0,16
3,4,0,17
3,5,0,5
3,6,0,18
3,7,0,19
3,8,0,20
4,1,0,21
4,2,0,22
4,3,1,23
4,4,0,23
4,5,0,24
4,6,0,25
4,7,10,26
4,8,0,27
5,1,1,28
5,2,0,28
5,3,0,29
5,4,1,30
5,5,10,30
5,6,0,31
5,7,10,26
5,8,0,32
6,1,1,33
6,2,11,33
6,3,10,33
6,4,0,34
6,5,10,30
6,6,0,35
6,7,1,26
6,8,0,26
7,1,10,36
7,2,1,33
7,3,10,33
7,4,0,37
7,5,0,30
7,6,10,7
7,7,0,38
7,8,1,36
8,1,0,36
8,2,0,39
8,3,0,33
8,4,0,40
8,5,1,7
8,6,1,7
8,7,10,7
8,8,0,41
