tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
1,3.7333333333333334,.0513809123246516,.0007449607523708,.8354161596237071,.0000312342604221
2,3.4666666666666668,.0505902331304066,.0007110862001603,.8236245996267572,.0000334873627249
3,3.2000000000000002,.0501399942752488,.0007128672524134,.8097681284687482,.0000356031374629
4,2.9333333333333336,.0473172085524683,.0006838958089702,.7934396196521202,.0000389360731057
5,2.6666666666666670,.0450301944326376,.0006335124289493,.7741233235664171,.0000414453515296
6,2.3999999999999999,.0447713527488648,.0006299145365860,.7511777740528155,.0000452660306971
7,2.1333333333333333,.0431187843869704,.0006053435689295,.7232657510559383,.0000491669293864
8,1.8666666666666667,.0402502184480861,.0005740187049074,.6891598299817842,.0000533165750532
9,1.6000000000000001,.0365339192653697,.0005117242628605,.6466304283689419,.0000584940431815
10,1.3333333333333335,.0331902588292186,.0004707934200130,.5933946196314532,.0000630250481694
11,1.0666666666666669,.0292754393558003,.0004223159770435,.5265813170944813,.0000680211497515
12,.7999999999999998,.0247990186273782,.0003432517715233,.4442120817195108,.0000704548030930
13,.5333333333333332,.0193881017672026,.0002718669690267,.3478961941748577,.0000700722179879
14,.2666666666666666,.0153873988860731,.0002207817520376,.2461083189773290,.0000650935207314
15,.0000000000000000,.0124189708262534,.0001756036293011,.1515671875000000,.0000568069148925
