tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
1,3.6000000000000001,.0497128662109375,.0007230231552639,.4774200507315453,.0000175755062313
2,3.2000000000000002,.0486198242187500,.0006956016860772,.4727556186128929,.0000195493767902
3,2.7999999999999998,.0468419433593750,.0006696651223968,.4658590630115896,.0000219844124209
4,2.3999999999999999,.0451353027343750,.0006439284833885,.4559894645171277,.0000253442956451
5,2.0000000000000000,.0413166992187500,.0005847899992051,.4413857714582289,.0000288822302228
6,1.6000000000000001,.0377753906250000,.0005346657172760,.4192831646319135,.0000343071909782
7,1.2000000000000002,.0329833984375000,.0004652617742834,.3848223938561872,.0000402650578920
8,.7999999999999998,.0265677490234375,.0003776895924388,.3317742274463537,.0000479101812619
9,.3999999999999999,.0185156738281250,.0002670832808965,.2588421265011059,.0000537720380261
10,.0000000000000000,.0137952392578125,.0001980978447765,.1899744140625000,.0000616945039759
