tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0519656005859380,.0007175962461895,.4800235855603451,.0000157932078480
1,3.8666666666666667,.0517629882812501,.0007342928219112,.4791615236351160,.0000163165300107
2,3.7333333333333334,.0513557617187501,.0007385730221563,.4779046725255625,.0000169102542055
3,3.6000000000000001,.0496786376953125,.0006904855078573,.4764024072760804,.0000172181666872
4,3.4666666666666668,.0501385986328125,.0007101704567838,.4747359327562510,.0000183215549510
5,3.3333333333333335,.0493359130859375,.0006951945629981,.4728610764333019,.0000187435888957
6,3.2000000000000002,.0483800537109375,.0006975838642106,.4707432448363845,.0000196470722753
7,3.0666666666666664,.0489797119140625,.0006931793425974,.4683694944026853,.0000203025518929
8,2.9333333333333336,.0478042480468750,.0006750743279514,.4656954590390855,.0000215627440676
9,2.7999999999999998,.0465033691406250,.0006584411226147,.4627021853665345,.0000217710760024
10,2.6666666666666670,.0452459716796875,.0006404361323654,.4593141451366094,.0000232271941006
11,2.5333333333333332,.0450018798828125,.0006362062895274,.4554676426736582,.0000240483530049
12,2.3999999999999999,.0441806884765625,.0006288663216213,.4510625445663816,.0000253094853971
13,2.2666666666666666,.0421378173828125,.0005950697137637,.4460314519376614,.0000265334001906
14,2.1333333333333333,.0432785400390625,.0006286595122965,.4402409593109708,.0000281021830887
15,2.0000000000000000,.0408239013671875,.0005664304702539,.4334901995315296,.0000294684324055
