tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0509754394531256,.0007345986578212,1.1423360075406781,.0000739657401402
1,3.6666666666666665,.0515319824218761,.0007414867632045,1.1555068261692820,.0000790611554307
2,3.3333333333333335,.0498193359375007,.0006862833398792,1.1719987451466707,.0000847913659770
3,3.0000000000000000,.0493387695312510,.0006724278467948,1.1926315739531197,.0000933350742496
4,2.6666666666666670,.0490931884765633,.0006786948108025,1.2190413375359226,.0001031388411705
5,2.3333333333333330,.0463747802734381,.0006553914346642,1.2541863333801624,.0001188209440726
6,2.0000000000000000,.0442284667968755,.0006313467916633,1.3021946074499613,.0001412060700617
