tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0508117675781256,.0007091175408655,.4800111524810808,.0000160221173018
1,3.8333333333333335,.0495846679687502,.0007090257904308,.4789644923283068,.0000164933464055
2,3.6666666666666665,.0499438720703129,.0007078207450978,.4773846787169750,.0000171623649259
3,3.5000000000000000,.0500551513671882,.0007151343882997,.4754109336537990,.0000176963357539
4,3.3333333333333335,.0493542480468750,.0007126620288612,.4730996054171340,.0000187200622995
5,3.1666666666666665,.0470373291015625,.0006732201753011,.4704799264246673,.0000197185173167
6,3.0000000000000000,.0480996093750000,.0006741259146458,.4674613868427621,.0000207742649354
7,2.8333333333333330,.0477435546875000,.0006741407247671,.4639553883420228,.0000218395572089
8,2.6666666666666670,.0468101562500000,.0006696348919900,.4598773293695868,.0000230640964751
9,2.5000000000000000,.0450528564453125,.0006307001020432,.4551093099350171,.0000245108862923
10,2.3333333333333330,.0433900634765625,.0006142982571441,.4494536756726698,.0000259250729375
11,2.1666666666666670,.0427038574218750,.0006004834200030,.4427192978014302,.0000275012013272
12,2.0000000000000000,.0408896484375000,.0005817136832633,.4346856611924615,.0000295295649090
