tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0505980468749965,.0007128520028131,1.1422143761197219,.0000740744187489
1,3.7083333333333335,.0508218749999967,.0007259593822610,1.1537133053810225,.0000789068657077
2,3.4166666666666665,.0512625488281217,.0007306081174295,1.1676880002230001,.0000843202608475
3,3.1250000000000000,.0500426513671845,.0007214160393733,1.1845213045869880,.0000896336849571
4,2.8333333333333330,.0489430908203094,.0006972729323408,1.2054661259953778,.0000987027067770
5,2.5416666666666670,.0474946044921843,.0006726720971925,1.2319337076793764,.0001097781714808
6,2.2500000000000000,.0457789306640601,.0006404363987829,1.2660626255534961,.0001238307078497
7,1.9583333333333335,.0447140136718722,.0006365049713138,1.3118226276539557,.0001480780914190
8,1.6666666666666665,.0410573242187477,.0005751563378549,1.3755006956480269,.0001793713925138
9,1.3750000000000000,.0387434814453102,.0005447957284748,1.4698633239083765,.0002396839668104
10,1.0833333333333335,.0349203857421850,.0004972034044851,1.6226641394155281,.0003546497204073
11,.7916666666666665,.0296596679687479,.0004210024835601,1.8972193775583412,.0006207189113955
12,.5000000000000000,.0217234619140610,.0003054529718800,2.4938631423319197,.0013468283976786
