tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0505960693359377,.0007190987533935,.8448550989672038,.0000298712789493
1,3.7666666666666666,.0501848876953124,.0007008882873765,.8366913570105015,.0000318492771453
2,3.5333333333333332,.0497007080078124,.0007002070887380,.8265882897892125,.0000329143784034
3,3.2999999999999998,.0492075927734375,.0007136726833274,.8148742436631156,.0000350296344665
4,3.0666666666666664,.0478733154296875,.0006846795318424,.8015244898990928,.0000369428551932
5,2.8333333333333330,.0467837158203125,.0006606062376212,.7861378098349465,.0000398637066826
6,2.6000000000000001,.0466364990234375,.0006580550297694,.7681701941931688,.0000421219319810
7,2.3666666666666667,.0439220214843750,.0006251869066151,.7471322296700167,.0000462677458307
8,2.1333333333333333,.0429154541015625,.0006210040511701,.7221215007735743,.0000491811965853
9,1.8999999999999999,.0411584228515625,.0006023633083584,.6924284892967624,.0000534357509340
10,1.6666666666666665,.0379360107421875,.0005394800509570,.6561249849734732,.0000574593441072
11,1.4333333333333331,.0353975830078125,.0005001410883635,.6120586212547348,.0000624489327035
12,1.2000000000000002,.0314826416015625,.0004395104219275,.5579881193716622,.0000666287775934
13,.9666666666666668,.0269134521484375,.0003755801171748,.4921007330253028,.0000696317625467
14,.7333333333333334,.0231070556640625,.0003268828324289,.4141373648967919,.0000719203458358
15,.5000000000000000,.0181734619140625,.0002597001042472,.3264369469709795,.0000698052383726
