tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0511057617187508,.0007248840409101,.4800000370127322,.0000161735434667
1,3.3333333333333335,.0503622558593757,.0007030524777910,.4748494056679492,.0000187321870642
2,2.6666666666666670,.0476677734375004,.0006893981522491,.4646760204697724,.0000230540578768
3,2.0000000000000000,.0438212402343752,.0006259433328355,.4455118540290197,.0000296613483315
4,1.3333333333333335,.0383142089843751,.0005458612658796,.4074020419577195,.0000396671053101
5,.6666666666666665,.0283182617187500,.0004027475503836,.3303729455856845,.0000514644435234
6,.0000000000000000,.0200534912109375,.0002820150067892,.2278056640625000,.0000668186193267
