tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0505427246093754,.0007251532521058,.8449565978889565,.0000297696334302
1,3.3333333333333335,.0499965332031251,.0006819776520213,.8189830163075212,.0000344541402537
2,2.6666666666666670,.0476439453125001,.0006574622940600,.7793236501996608,.0000414899240586
3,2.0000000000000000,.0418096923828125,.0005856029031588,.7180820390468189,.0000496273333983
4,1.3333333333333335,.0371327392578125,.0005300558078710,.6182197570365066,.0000613795539652
5,.6666666666666665,.0282634521484375,.0004047895640205,.4516650497229619,.0000717892009577
6,.0000000000000000,.0199948730468750,.0002795983152237,.2206506103515625,.0000654308470910
