tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0525209716796919,.0007429505357460,.4799553560781822,.0000162745953969
1,3.5000000000000000,.0517897460937524,.0007390492706371,.4763114397157137,.0000181570218435
2,3.0000000000000000,.0489669677734386,.0006786454158995,.4698447602139642,.0000210996562246
3,2.5000000000000000,.0461394287109381,.0006481308490002,.4596153911715983,.0000247071185973
4,2.0000000000000000,.0427228759765627,.0006010827024514,.4429265396143452,.0000294934184100
5,1.5000000000000000,.0398511718750001,.0005597940525929,.4150033520486565,.0000369335093781
6,1.0000000000000000,.0328948730468750,.0004677062356577,.3663146928585732,.0000455360506245
7,.5000000000000000,.0248165039062501,.0003542273703089,.2874526487295266,.0000541099390185
8,.0000000000000000,.0179352050781251,.0002512321570546,.2043335449218750,.0000641709320449
