tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0374110839843757,.0005166495327860,.1983129638671875,.0000409079261392
1,3.7333333333333334,.0288812011718753,.0004063964773813,.1540868774414063,.0000379755591832
2,3.4666666666666668,.0243451416015629,.0003399756688580,.1269946289062500,.0000349730844966
3,3.2000000000000002,.0200664550781251,.0002799256562254,.1087213256835937,.0000325924816039
4,2.9333333333333336,.0173127197265626,.0002455024943373,.0956842651367188,.0000313131369517
5,2.6666666666666670,.0154657470703126,.0002204731473002,.0858082153320313,.0000298626714280
6,2.3999999999999999,.0139652832031251,.0001953137128366,.0780703491210937,.0000283656858173
7,2.1333333333333333,.0126645751953126,.0001750016563398,.0717780029296875,.0000272473733187
8,1.8666666666666667,.0117507812500000,.0001686616179352,.0665237182617188,.0000266853148790
9,1.6000000000000001,.0108399902343750,.0001556279975159,.0620591674804687,.0000259006806512
10,1.3333333333333335,.0102235351562500,.0001440108890226,.0583478637695313,.0000254415012074
11,1.0666666666666669,.0097996093750000,.0001371556615468,.0550732910156250,.0000248571767756
12,.7999999999999998,.0093050292968750,.0001318946628529,.0521497070312500,.0000240853500235
13,.5333333333333332,.0090245849609375,.0001268956781377,.0496068115234375,.0000233250805186
14,.2666666666666666,.0086849365234375,.0001223973290400,.0473037475585937,.0000229180208085
15,.0000000000000000,.0083656982421875,.0001169200170641,.0452303833007813,.0000222821215967
