tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0518418701171914,.0007252834077622,.4800141529121282,.0000160352712866
1,3.7500000000000000,.0501613281250026,.0007203316699924,.4782430360880878,.0000169170185903
2,3.5000000000000000,.0503358886718762,.0007235052925393,.4757125507360308,.0000183631791540
3,3.2500000000000000,.0497694335937508,.0006979493856636,.4723949315263372,.0000193414730346
4,3.0000000000000000,.0496614990234377,.0006816852308047,.4682468897679537,.0000210915898092
5,2.7500000000000000,.0486052978515626,.0006818306412214,.4630685613441481,.0000229143290911
6,2.5000000000000000,.0448820800781251,.0006355199324282,.4565092288438537,.0000249275795388
7,2.2500000000000000,.0447099609375000,.0006395608646767,.4482156778506185,.0000271124826268
8,2.0000000000000000,.0430953369140625,.0006129384921127,.4373978118548321,.0000300124514971
9,1.7500000000000000,.0395655517578125,.0005634455739714,.4232634890741846,.0000333015562581
10,1.5000000000000000,.0373944580078125,.0005372766695707,.4044119437836005,.0000370814126384
11,1.2500000000000000,.0340596679687500,.0004727725648522,.3792223652406544,.0000414543588840
12,1.0000000000000000,.0296854248046875,.0004243558731157,.3456238102083850,.0000459374059795
