tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0515320800781278,.0007105497833593,.8449819653024213,.0000299221960077
1,3.7500000000000000,.0508093750000012,.0007112962317933,.8360470191921063,.0000312016408561
2,3.5000000000000000,.0497384033203127,.0007106274825427,.8251336869757030,.0000333628435197
3,3.2500000000000000,.0494788330078126,.0006940987710666,.8123011648296173,.0000358531446034
4,3.0000000000000000,.0484819824218750,.0006868316248983,.7975527406697429,.0000375455243515
5,2.7500000000000000,.0476667724609375,.0006846112386075,.7803135142637831,.0000413548067087
6,2.5000000000000000,.0450173095703125,.0006330463077652,.7598353656914196,.0000438333106939
7,2.2500000000000000,.0443391601562500,.0006237583069804,.7357376392707146,.0000471788761285
8,2.0000000000000000,.0410796875000000,.0005745491572929,.7064628996771954,.0000512981259486
9,1.7500000000000000,.0385007080078125,.0005438439165998,.6708014069989883,.0000557236326121
10,1.5000000000000000,.0353950195312500,.0004965659662269,.6268807228644833,.0000605578451945
11,1.2500000000000000,.0317074462890625,.0004366022725590,.5723115964222569,.0000652542505480
12,1.0000000000000000,.0280523193359375,.0003916987580417,.5049233037957149,.0000691802813917
