tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0508117675781256,.0007091175408655,.4800111524810808,.0000160221173018
1,3.7500000000000000,.0496150146484376,.0007074450103555,.4784310964792263,.0000168399282051
2,3.5000000000000000,.0490584472656254,.0006965146769971,.4758846744204868,.0000179361768769
3,3.2500000000000000,.0493809326171881,.0007138242912462,.4725282467068336,.0000188966506563
4,3.0000000000000000,.0481601562500000,.0006951447269216,.4683242465618977,.0000206730296529
5,2.7500000000000000,.0452163574218750,.0006392651460820,.4631199965695463,.0000224918836171
6,2.5000000000000000,.0458598876953125,.0006511865910295,.4565977007366124,.0000243221719096
7,2.2500000000000000,.0442401855468750,.0006295559033859,.4482562075554060,.0000265856853258
8,2.0000000000000000,.0413350585937500,.0005847558299388,.4374540344506094,.0000294199905148
9,1.7500000000000000,.0394108642578125,.0005477262013566,.4233386649556671,.0000323809984392
10,1.5000000000000000,.0357838134765625,.0004994568701707,.4044920036344845,.0000363440247929
11,1.2500000000000000,.0322418945312500,.0004613937193035,.3792841156713208,.0000401243774243
12,1.0000000000000000,.0279357910156250,.0004017881952866,.3456674156457057,.0000444125965936
