tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
0,4.0000000000000000,.0509429931640620,.0007184748782151,.8449815773812943,.0000294715280381
1,3.8333333333333335,.0517354736328122,.0007288276049829,.8391535790507570,.0000310957905574
2,3.6666666666666665,.0501125244140625,.0007047210293297,.8322813771826703,.0000323766460500
3,3.5000000000000000,.0506102783203125,.0007144594606178,.8245640765439952,.0000333417552479
4,3.3333333333333335,.0483707519531250,.0006879864482614,.8160796997565536,.0000345920106999
5,3.1666666666666665,.0484548583984375,.0006892744919351,.8067430350822310,.0000367188662791
6,3.0000000000000000,.0492736572265625,.0007173227161439,.7963802367158869,.0000376868332276
7,2.8333333333333330,.0471034423828125,.0006675542487826,.7850165840755429,.0000400617583123
8,2.6666666666666670,.0451693847656250,.0006372181528685,.7722412080497874,.0000418736068967
9,2.5000000000000000,.0439798095703125,.0006239378500179,.7579875879377063,.0000446013314280
10,2.3333333333333330,.0441844482421875,.0006238434573996,.7419549262557232,.0000465620116508
11,2.1666666666666670,.0432157714843750,.0006201582388437,.7236157261530715,.0000487386909046
12,2.0000000000000000,.0404224853515625,.0005873984816763,.7027933052850441,.0000519540513324
13,1.8333333333333335,.0381475585937500,.0005410634606689,.6790259516944380,.0000550151766964
14,1.6666666666666665,.0374940185546875,.0005307002200524,.6516203899210407,.0000577822055096
15,1.5000000000000000,.0344784423828125,.0004831228091649,.6197376674793302,.0000610386645744
