tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0504219726562499,.0007277514435896,.8449515663324905,.0000290095419530
1,3.7999999999999998,.0502597412109375,.0006975785447559,.8380188315316919,.0000304553194663
2,3.6000000000000001,.0499547851562500,.0007025616959476,.8294349680067322,.0000318713525364
3,3.3999999999999999,.0484134765625000,.0006883965056414,.8197637617343855,.0000336533247021
4,3.2000000000000002,.0483994384765625,.0006924591667362,.8089406748742657,.0000356627195431
5,3.0000000000000000,.0490108642578125,.0006828408965948,.7966503525087988,.0000373123934483
6,2.7999999999999998,.0460275146484375,.0006515220153117,.7829438340004311,.0000398077795118
7,2.6000000000000001,.0455343994140625,.0006312150289623,.7671451150762582,.0000418961991480
8,2.3999999999999999,.0442026367187500,.0006208514256463,.7490801486889062,.0000443555764173
9,2.2000000000000002,.0430381591796875,.0006152297197313,.7281824066521977,.0000473268830907
10,2.0000000000000000,.0423197509765625,.0006009074006553,.7038217709096439,.0000509637270977
11,1.7999999999999998,.0381693115234375,.0005403454878064,.6751196550572088,.0000542573311105
12,1.6000000000000001,.0359968750000000,.0005170509689647,.6410226971463056,.0000576472540658
13,1.3999999999999999,.0333055419921875,.0004740250052185,.6004766953373600,.0000613099332765
14,1.2000000000000002,.0295887451171875,.0004211149243212,.5519467896858030,.0000643457891015
15,1.0000000000000000,.0258654785156250,.0003693768607900,.4942642341649902,.0000678234877353
