tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0500211425781251,.0007095521414510,1.1423054697833548,.0000747683205253
1,3.7500000000000000,.0515419189453129,.0007337255933552,1.1521389957471280,.0000779397909282
2,3.5000000000000000,.0512483398437501,.0007244210484797,1.1634305274425583,.0000823028599329
3,3.2500000000000000,.0504986328124998,.0007049756853617,1.1770127146523155,.0000878611038234
4,3.0000000000000000,.0495165039062501,.0007221722710104,1.1932459470438588,.0000947922458208
5,2.7500000000000000,.0480840576171875,.0006939528041553,1.2130579318042145,.0001024048426228
6,2.5000000000000000,.0474260009765625,.0006892674631466,1.2368293383718887,.0001123692025421
7,2.2500000000000000,.0450435546875005,.0006337516823889,1.2669952425119577,.0001267138581782
8,2.0000000000000000,.0457105468749998,.0006452813810566,1.3057506239350953,.0001446167977081
9,1.7500000000000000,.0434479492187501,.0006125850133915,1.3573519780472960,.0001707332627494
10,1.5000000000000000,.0401429687499999,.0005561568612600,1.4281402852851932,.0002104939605053
11,1.2500000000000000,.0402114746093749,.0005656545663186,1.5325497948523883,.0002825173564228
12,1.0000000000000000,.0360155273437500,.0005001648052242,1.7000186413037397,.0004221851768829
