tau_Q,T,chi_t,Error chi_t,AR|CS,Error AR|CS
0,4.0000000000000000,.0508572265625016,.0007327646121080,.4800567155586771,.0000158402134612
1,3.7500000000000000,.0513204833984381,.0007286571099771,.4782799947843498,.0000169247050528
2,3.5000000000000000,.0494727783203128,.0007058698151791,.4757157352799922,.0000181169297952
3,3.2500000000000000,.0496988037109378,.0007026026989334,.4723970841448030,.0000193849502190
4,3.0000000000000000,.0486777099609375,.0006842450269606,.4682664238193346,.0000209397134665
5,2.7500000000000000,.0480403320312500,.0006853389180820,.4630861752915352,.0000230001863610
6,2.5000000000000000,.0464455810546875,.0006563315790936,.4565438391386832,.0000246027595284
7,2.2500000000000000,.0441511230468750,.0006414957802155,.4482397766526038,.0000270768082837
8,2.0000000000000000,.0427287597656250,.0006079582951150,.4374437478817712,.0000301692923832
9,1.7500000000000000,.0398199951171875,.0005596941221008,.4232137988855148,.0000329571906365
10,1.5000000000000000,.0377974609375000,.0005359227329084,.4043957597328987,.0000371041605819
11,1.2500000000000000,.0342613769531250,.0004732032739067,.3791825751355898,.0000408607077353
12,1.0000000000000000,.0295924804687500,.0004203125331155,.3455098738838627,.0000461821968982
