i,j,x,y,z
1,1,-.0769200988307225,.0062560892024187,.9970176326142699
1,2,-.6237753067360207,.7815495750839834,-.0091993691320854
1,3,.6437846573879403,-.0207475172799419,.7649253920733778
1,4,.1869710245143783,-.9357622908512087,-.2989828941811583
1,5,-.3396320774145030,-.2335458942067539,.9111017326787809
1,6,.2130541306265326,.4962753331614548,.8416167364771565
1,7,.7946668222825727,-.2467632393017316,.5546282947097403
1,8,-.2429194211875559,.0458603662534850,.9689618060671943
2,1,-.7482778535143619,-.4606839924082065,.4773368968336459
2,2,.1217904030169963,.9709967280419759,-.2057485160693380
2,3,-.1800608952319994,.8555911432215894,.4853265598017737
2,4,-.4481375276252726,-.1755696452190728,-.8765546508983664
2,5,.1033022399071694,.9549600115894177,-.2781726505163669
2,6,-.6324405021160096,-.6660769790746535,.3954244165830346
2,7,.6601148890947361,.6824465635669857,.3138710261732616
2,8,-.7148416251414843,.2847835489710813,-.6386703227804759
3,1,-.6477438671983266,-.7458811598621603,-.1552068873137882
3,2,.3762941010148556,-.5851805957068921,-.7183080258145168
3,3,.8295022440034756,-.2821856299863039,.4819722994347613
3,4,.4988951585168601,.0571621949691655,.8647751755657329
3,5,.7423720820811673,-.3026487209162025,.5977352620301559
3,6,.6877292007470368,-.6977225450664705,.2005287923112518
3,7,-.6763405501934936,-.0018608203666657,-.7365867209714857
3,8,.8344297033544423,-.5459940612719466,-.0749503516708436
4,1,.0121782062539931,.9770458608750873,-.2126806926810583
4,2,-.0698058202192109,.3981931240623072,.9146416694055783
4,3,-.3007725411757922,-.6462091737753413,-.7013911763083759
4,4,.6169494746403660,.2231593509083698,-.7547007684129728
4,5,-.2926991303962138,.9462575569929248,.1375640029189398
4,6,.6131514746122824,.1313877793678316,.7789624641878283
4,7,.3003131443537843,-.9135617542148678,.2742570629249074
4,8,-.2359568314639063,.3205842674626353,.9173603987206769
5,1,-.4225567420583967,-.6577830678827993,.6235120170034305
5,2,-.8810677595480392,-.4702162196750377,.0511498762414468
5,3,-.6253327679532141,.2615113180384429,-.7352351731669046
5,4,.9901738680745877,-.1297820114603495,.0520801352102163
5,5,.7351949783729806,-.5499343590080898,-.3963086480983148
5,6,.3222314907117478,-.3450776110924206,.8815261248065385
5,7,-.1372040065327178,-.7309816936898816,.6684615352296959
5,8,.6576449841741259,.4677641402665197,-.5905080726555204
6,1,-.7977727511748007,-.6008044881080874,-.0509176251622995
6,2,.1369468648268115,-.9301241747047420,-.3407558889350700
6,3,.6737210313981075,.7378333516839460,-.0412542966817336
6,4,.0178868922372540,.0561500794202005,.9982621036918100
6,5,.0149873586345528,-.6078119345741021,-.7939395639911433
6,6,-.7383411366257994,-.6498754222750233,-.1803172246042591
6,7,-.5591397148886744,.8022060125798406,.2093520781243038
6,8,-.0728934718048293,-.7525966957995243,.6544346837079136
7,1,.8327652139956024,.5172176861110186,-.1974536997192565
7,2,-.6546738640771758,-.1031203570570067,-.7488446592282642
7,3,.0535401797959519,-.9194101692216906,-.3896387941147022
7,4,-.0910295318097816,-.8451023353666537,.5267975579824948
7,5,.3418895893478568,.7553386582659261,.5590840902982166
7,6,.2839206868878424,-.9463864397739541,-.1540835817636508
7,7,.5213924556036712,.8469004166865243,-.1044489897307067
7,8,.8330091543873084,-.4651499353945216,-.2995518090571543
8,1,-.9698490934620064,.1187504050160766,-.2128170040655632
8,2,-.1888256612331756,.5420269815013123,.8188721640063423
8,3,.8843218049434817,.1528903922191132,-.4411343029833302
8,4,.8094451167091736,.3701726131143546,-.4558188670247894
8,5,-.2092547573688969,-.3170731612718131,.9250281384474652
8,6,-.7239386127940031,-.6630641265066972,.1904175649613369
8,7,-.5033520512276118,-.7379392772273853,-.4495356889614881
8,8,.2587620316047567,.6366296006778679,.7264605719104908
