i,j,x,y,z
1,1,-.4932207895162753,-.8676157347745642,.0630570341875899
1,2,-.0885597513973688,.8543619372917860,-.5120769966904024
1,3,-.1050050663862601,-.6923794688852100,.7138519504067014
1,4,.4766185360743942,-.3658627605991881,-.7993617525732906
1,5,.8604342190855931,.2023047002254620,-.4676812620719921
1,6,-.6365522929224933,.7420188091162276,-.2102599945135820
1,7,.1235935357869146,.9224707879979506,-.3657489346561775
1,8,-.3033464876356498,.0934704767823023,.9482848614257235
2,1,-.6973569760444703,-.7065794511852095,-.1201612546743758
2,2,.0570366439727708,.2415600063456893,.9687082040421635
2,3,-.3216303898305651,.8429842814200667,-.4311976270993761
2,4,-.4022018794954519,-.6379053157303499,.6567423058500865
2,5,-.9535341866913560,.2737617670824142,-.1258056027956148
2,6,.3651524555017118,.7751891693488921,.5155050300096450
2,7,.2235268024256318,.2295995714994243,.9472696582096638
2,8,.2308529803599807,.9529652170036966,-.1963776887531058
3,1,-.4363458646864177,.8194127828316669,.3717054986183633
3,2,-.6067678596676431,.2381300801691599,.7583711686192829
3,3,.7392427550250467,.4964117611394411,-.4550774797168250
3,4,.5713166115574518,.3766351596950884,-.7292072996343132
3,5,-.9412143794561429,.2610313063593758,.2144251594503441
3,6,.9494867812258748,.2075453648126386,-.2353715654494327
3,7,.7924822688992611,.3730919744372931,-.4824668196785779
3,8,-.4346945785747820,.8594662746821909,-.2689950669466067
4,1,-.7103170926708027,.1495926524220450,-.6878020545193476
4,2,.2208265951440069,-.8354457484727452,.5032554184863978
4,3,.6531116073810584,-.3040142551961350,-.6935564583663464
4,4,-.9892204543504670,.0302600660183241,-.1432732392989784
4,5,-.2921035015339564,.6321348187286532,-.7176915182322379
4,6,-.0251434619471010,.9956105523213756,-.0901522846501405
4,7,-.0674240756113843,-.6304281685742740,.7733138549748331
4,8,-.7491539734261066,-.6473646564580474,-.1403115307764499
5,1,-.1004791544360065,.2636738582894825,.9593643916565608
5,2,.5631139462189851,.7772188168198908,-.2807732080430236
5,3,.0064906566485112,.9253568832660958,-.3790415675995554
5,4,-.1782876711121411,-.7330738286594075,-.6563659558996388
5,5,.9370198876653313,.1613047997864890,-.3097975010962658
5,6,.2168195014025178,-.8836222293809889,-.4149711550883202
5,7,.3844898658932405,.1615400577081351,-.9088852253068318
5,8,-.0133667214230652,-.3322935520840311,.9430812934216093
6,1,-.8827560361967635,-.3261452290505865,.3381879213184867
6,2,.1177102341488136,-.9541199725736526,.2753168696478369
6,3,-.0341606909561607,.9908468918614133,-.1305966465188683
6,4,.2156320304247898,-.7639972475115886,.6081209034802200
6,5,-.7969919133248251,-.5943319835204430,-.1075796609935639
6,6,-.0891664725654439,-.0763280442482447,-.9930877956311184
6,7,.6284562244785344,-.7440538561884819,.2267744099435292
6,8,-.9094162774281030,-.2016850995346932,.3637102623991965
7,1,.4416458644021257,-.3039060154555517,-.8441504985643432
7,2,.2601822068485396,-.3669263397407574,-.8931238886312883
7,3,.8082622469040619,.4050875788852181,-.4273361600221884
7,4,-.4784810492136413,.7240414124812615,.4968097408018012
7,5,.5189002405193238,-.8103840760073573,.2720665171289725
7,6,-.3246595085955378,-.9385136707567320,.1174235635689378
7,7,.5443356896653944,.4323449247604472,-.7188717013420286
7,8,.9183369835722658,-.0218547942458274,-.3951955877434165
8,1,.8149455790154891,-.1019281915121098,.5705035907145368
8,2,-.1367103561282942,.6348259052171373,.7604645610365530
8,3,.0493070863520190,-.7913692332484010,.6093468207050172
8,4,.1591319340557972,-.6109785401373976,.7754883951776685
8,5,.4967677053720442,-.2230951595296271,-.8387194982196635
8,6,-.1438706519254385,.6435618752845638,.7517508551340431
8,7,-.7858191106523872,.1036351509051390,.6097114734285065
8,8,.4710175559714073,-.1324535487289366,.8721229955664702
