T,CS,Error CS
4,1.1462162716174709,0.0006109969864106
3.5,1.1697236830278124,0.0006847660239143
3,1.2035422845326120,0.0007871648000803
2.5,1.2521228544257317,0.0009498466030746
2,1.3366768604773001,0.0012343831156018
1.5,1.5044384188302555,0.0018745862591373
1,2.0055166427860383,0.0049004152730169
.5,7.9891422431706625,0.1204997173188516
.4,12.2526043479186146,0.1770233214107716
.3,18.6558565612220093,0.2310796396754329
.2,26.6330243661992085,0.2677538642990518
.1,37.0615764765755600,0.2818003113253223
0,63.9641498412698368,0.0136091445999671
