tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
1,3.7333333333333334,.0511859375000000,.0007524163234046,.0180499525773184,.0000101250359324
2,3.4666666666666668,.0509453125000000,.0007468083812865,.0182743108681446,.0000108619511883
3,3.2000000000000002,.0507328125000000,.0007365652608246,.0184853130676868,.0000114428717179
4,2.9333333333333336,.0506640625000000,.0007309775527156,.0187810052470091,.0000122416045758
5,2.6666666666666670,.0505593750000000,.0007220767776945,.0191009727549996,.0000132821434412
6,2.3999999999999999,.0503843750000000,.0007167815992229,.0195028248802571,.0000143844224479
7,2.1333333333333333,.0502609375000000,.0007197354473466,.0200018150483046,.0000159313819358
8,1.8666666666666667,.0495937500000000,.0007136813510425,.0206999262376352,.0000179602666941
9,1.6000000000000001,.0489031250000000,.0007050353904778,.0215885885551546,.0000211248660392
10,1.3333333333333335,.0486593750000000,.0007058073633626,.0228481475173945,.0000253689600996
11,1.0666666666666669,.0471437500000000,.0006740800537478,.0248395933040477,.0000321217197220
12,.7999999999999998,.0449781250000000,.0006481189465699,.0282026838568343,.0000450369775543
13,.5333333333333332,.0405171875000000,.0006040315974515,.0348507605752226,.0000725661760742
14,.2666666666666666,.0294484375000000,.0004892493240565,.0517494268652695,.0001458307049086
15,.0000000000000000,.0090265625000000,.0002325231091725,.1557342455480520,.0005930613858159
