tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
1,3.2000000000000002,.0492531250000000,.0007099718680809,.8125432808147635,.0002815998475219
2,2.3999999999999999,.0454109375000000,.0006646253060451,.7591396936390195,.0003578076974756
3,1.6000000000000001,.0399843750000000,.0005757950725041,.6689400277885730,.0004566630959646
4,.7999999999999998,.0303921875000000,.0004412142380586,.5009347880009625,.0005616484882466
5,.0000000000000000,.0211296875000000,.0003131550317996,.2352421875000000,.0005428653645432
