tau_Q,T,<Q^2>,Error <Q^2>,<|Q|>,Error <|Q|>
0,4.0000000000000000,3.2781000000000007,0.0177742322853430,1.4018800000000002,0.0048944594526191
1,3.8666666666666667,3.2627900000000003,0.0174364398124541,1.4005700000000001,0.0048433700388606
2,3.7333333333333334,3.2487382983697302,0.0189972876189430,1.3979795699692716,0.0045037867468949
3,3.6000000000000001,3.2098500000000003,0.0143873806588350,1.3872700000000000,0.0036771380779684
4,3.4666666666666668,3.1623199999999998,0.0078746541370256,1.3767999999999998,0.0024377129536605
5,3.3333333333333335,3.1552500000000001,0.0159584268926763,1.3759700000000001,0.0035084675350421
6,3.2000000000000002,3.1349900000000006,0.0187515240862063,1.3700100000000000,0.0042713112740703
7,3.0666666666666664,3.0788199999999994,0.0147199924516893,1.3581200000000000,0.0035119731712467
8,2.9333333333333336,3.0669300457600297,0.0095000743269218,1.3574501514221371,0.0025533368514918
9,2.7999999999999998,3.0065100000000000,0.0138556963817133,1.3397699999999999,0.0031238526782733
10,2.6666666666666670,2.9371900000000002,0.0188816162796875,1.3243300000000000,0.0049032653518968
11,2.5333333333333332,2.8641300000000003,0.0116258146667950,1.3058900000000000,0.0024510519283677
12,2.3999999999999999,2.8294100000000002,0.0153172411934321,1.2959300000000002,0.0039498537244365
13,2.2666666666666666,2.7665599999999997,0.0112475300992409,1.2795200000000002,0.0038765620507523
14,2.1333333333333333,2.6865900000000003,0.0131531529806864,1.2604299999999999,0.0040491988233614
15,2.0000000000000000,2.6089099999999998,0.0095341194314596,1.2433099999999999,0.0023823167995321
16,1.8666666666666667,2.5366999999999997,0.0113214153021805,1.2228600000000001,0.0035912300585361
17,1.7333333333333334,2.4334300000000004,0.0113182158978837,1.1946100000000002,0.0032410372139519
18,1.6000000000000001,2.3349100055783922,0.0095537701219131,1.1685902949277849,0.0026279718881351
19,1.4666666666666668,2.2061004330889427,0.0067013246942215,1.1303002142493326,0.0026113132978335
20,1.3333333333333335,2.0519200000000000,0.0096127785323033,1.0891199999999999,0.0028037593810216
21,1.2000000000000002,1.8893016504743811,0.0089922157673477,1.0377207937363235,0.0025002417077054
22,1.0666666666666669,1.7132545482224035,0.0103949150000609,0.9815311064498207,0.0038309902258533
23,0.9333333333333331,1.5332600000000003,0.0081858577233339,0.9197600000000001,0.0026316956933168
24,0.7999999999999998,1.3286600000000002,0.0054794809162101,0.8433400000000001,0.0022679016243607
25,0.6666666666666665,1.1426399999999999,0.0038890501553865,0.7686800000000000,0.0012118672461216
26,0.5333333333333332,0.9479900000000001,0.0040791189135781,0.6826500000000000,0.0021113055466016
27,0.3999999999999999,0.7882300000000000,0.0039326567214656,0.6036500000000001,0.0021956143154530
28,0.2666666666666666,0.6456800001811885,0.0032793563742815,0.5209400425662482,0.0017931568403855
29,0.1333333333333333,0.5480000000174023,0.0019818061215337,0.4603800131917790,0.0016902104535311
30,0.0000000000000000,0.4798000000174024,0.0029275700884147,0.4143800131917790,0.0022043225709292
