  TQ                     Temp                   charge                    error                chargeAbs                    error
   0       4.0000000000000000       3.2742499999999994       0.0177134553376806       1.4027100000000001       0.0035917327913479
   1       3.8666666666666667       3.2875700000000001       0.0151266802556130       1.4065700000000001       0.0037480676502848
   2       3.7333333333333334       3.2827799999999998       0.0166479214585151       1.4076800000000000       0.0041740680929335
   3       3.6000000000000001       3.2743599999999993       0.0151130716048500       1.4050200000000004       0.0039880042349250
   4       3.4666666666666668       3.2695900000000000       0.0158259593354998       1.4034100000000003       0.0037124550128213
   5       3.3333333333333335       3.2660199999999997       0.0172049786076266       1.4007399999999997       0.0044048760860363
   6       3.2000000000000002       3.2681999999999993       0.0142476898712271       1.4005000000000003       0.0039080543610457
   7       3.0666666666666664       3.2647399999999998       0.0141149739244848       1.3986800000000001       0.0036180043609087
   8       2.9333333333333336       3.2519299999999993       0.0106970509954847       1.3982100000000000       0.0026775382557697
   9       2.7999999999999998       3.2387499999999996       0.0126901821193480       1.3941300000000001       0.0035715558390022
  10       2.6666666666666670       3.2276199999999995       0.0118563044645271       1.3920800000000000       0.0035276306181031
  11       2.5333333333333332       3.2240799999999998       0.0160986044943861       1.3929199999999999       0.0043160887644049
  12       2.3999999999999999       3.2198599999999997       0.0109561672130359       1.3914000000000000       0.0027590255928900
  13       2.2666666666666666       3.1993999999999998       0.0126211022586074       1.3867799999999997       0.0035857991515916
  14       2.1333333333333333       3.1708399999999997       0.0103138763054654       1.3779800000000000       0.0025234368098554
  15       2.0000000000000000       3.1521899999999992       0.0094258091311982       1.3761300000000003       0.0027522132507817
  16       1.8666666666666667       3.1305900000000002       0.0111120200183807       1.3688899999999999       0.0029380435667295
  17       1.7333333333333334       3.0940300000000001       0.0144777150591295       1.3597100000000002       0.0042360739160480
  18       1.6000000000000001       3.0582899999999995       0.0170951419349993       1.3516100000000004       0.0055707061192156
  19       1.4666666666666668       3.0151399999999997       0.0178358577652496       1.3406800000000001       0.0051848668685363
  20       1.3333333333333335       2.9670500000000004       0.0127671388076313       1.3299900000000000       0.0035644058255042
  21       1.2000000000000002       2.9118000000000004       0.0125521578490179       1.3183799999999999       0.0033937458819292
  22       1.0666666666666669       2.8170499999999996       0.0149593987550001       1.2929500000000000       0.0042303204501683
  23       0.9333333333333331       2.6998199999999999       0.0113585973312439       1.2627599999999999       0.0030806637091524
  24       0.7999999999999998       2.5483399999999996       0.0095537101577230       1.2239400000000000       0.0025449819907680
  25       0.6666666666666665       2.3531599999999999       0.0056826284997938       1.1641200000000000       0.0016994639677785
  26       0.5333333333333332       2.0684300000000002       0.0075041181286606       1.0742900000000000       0.0028375830873788
  27       0.3999999999999999       1.6619499999999998       0.0055919237397438       0.9229899999999998       0.0027952519266309
  28       0.2666666666666666       1.1079199999999996       0.0040578264570526       0.6714399999999999       0.0017532953101073
  29       0.1333333333333333       0.5440900000000000       0.0054464147228551       0.3660100000000000       0.0026904543193380
  30       0.0000000000000000       0.1319600000000000       0.0018018015675676       0.1015400000000000       0.0012539891901005
