  TQ                     Temp                   charge                    error                chargeAbs                    error
   0       4.0000000000000000       3.2813499999999998       0.0121195549056519       1.4077100000000000       0.0025658202067436
   1       3.7999999999999998       3.2478100000000003       0.0188239590238967       1.3969899999999997       0.0044216248898641
   2       3.6000000000000001       3.2220399999999989       0.0112088278701312       1.3904200000000002       0.0027918452679184
   3       3.3999999999999999       3.1770900000000006       0.0180033543170897       1.3792100000000000       0.0044634677599869
   4       3.2000000000000002       3.1368700000000005       0.0105916219511250       1.3675100000000000       0.0023298760100533
   5       3.0000000000000000       3.0794099999999998       0.0145534375473441       1.3591100000000000       0.0037696875791562
   6       2.7999999999999998       3.0002900000000001       0.0119321642816564       1.3375299999999999       0.0033870357410443
   7       2.6000000000000001       2.9094200000000003       0.0183084182216209       1.3182800000000001       0.0049933466844504
   8       2.3999999999999999       2.8515600000000001       0.0145227346674871       1.3024799999999999       0.0039567045771843
   9       2.2000000000000002       2.7453895743912726       0.0095962018218064       1.2773213118083742       0.0028994466360493
  10       2.0000000000000000       2.6276041747554819       0.0116014420938991       1.2455484864154129       0.0027791578208545
  11       1.7999999999999998       2.5060400120246888       0.0073835809997573       1.2151673239789567       0.0020874767184459
  12       1.6000000000000001       2.3514329659903628       0.0077796134635544       1.1737354460906739       0.0022266040752070
  13       1.3999999999999999       2.1841984201081042       0.0088413816580895       1.1250120045695491       0.0021510944006989
  14       1.2000000000000002       1.9694900118965406       0.0089006437436311       1.0630903836128498       0.0027827611622215
  15       1.0000000000000000       1.7428899575658945       0.0088854219299313       0.9918171820650477       0.0028716197685687
  16       0.7999999999999998       1.4795099999999999       0.0076563909397459       0.9005500000000000       0.0022312054539592
  17       0.6000000000000001       1.1993099999999999       0.0051337326684500       0.7951100000000002       0.0021905072979158
  18       0.3999999999999999       0.9596500000000001       0.0047382896586100       0.6883100000000000       0.0020135347581361
  19       0.2000000000000002       0.7703500000000000       0.0031394001550190       0.5961100000000001       0.0014879105409189
  20       0.0000000000000000       0.6470900000000001       0.0015265392959968       0.5254900000000001       0.0008319254774317
