  TQ                     Temp                   charge                    error                chargeAbs                    error
   0       4.0000000000000000       3.2828599999999994       0.0136721712491713       1.4045200000000002       0.0033978359125905
   1       3.6000000000000001       3.2216300000000002       0.0078950624513751       1.3903099999999999       0.0021507853862666
   2       3.2000000000000002       3.1406600000000000       0.0158167014400739       1.3726800000000003       0.0032245171903886
   3       2.7999999999999998       3.0312400000000004       0.0202334991755968       1.3466800000000001       0.0047869916324230
   4       2.3999999999999999       2.9041299999999999       0.0135640787867563       1.3149500000000001       0.0024203879395210
   5       2.0000000000000000       2.7051799999999999       0.0167999722221991       1.2666400000000000       0.0041539592893741
   6       1.6000000000000001       2.4305200000000000       0.0137522668838430       1.1948400000000001       0.0036945064322286
   7       1.2000000000000002       2.1158099999999997       0.0055889663126955       1.1051899999999999       0.0030130254267468
   8       0.7999999999999998       1.6817000000000000       0.0075395844270978       0.9731200000000001       0.0028040367726230
   9       0.3999999999999999       1.2068700000000003       0.0037529854782559       0.8001499999999998       0.0015443984805311
  10       0.0000000000000000       0.8819299999999999       0.0055683839666460       0.6558100000000000       0.0023914407558810
