tau_Q,T,<Q^2>,Error <Q^2>,<|Q|>,Error <|Q|>
0,4.0000000000000000,3.2583099999999994,0.0129686498055034,1.3993899999999999,0.0036524101631661
1,3.8666666666666667,3.2546900000000001,0.0133308618542754,1.3958700000000002,0.0039126873402077
2,3.7333333333333334,3.2345400000000000,0.0107854449246300,1.3908600000000000,0.0021885662480771
3,3.6000000000000001,3.1990100000000004,0.0176630779373873,1.3868499999999999,0.0044751225929825
4,3.4666666666666668,3.1702300000000001,0.0191199723965401,1.3796300000000001,0.0047590860467110
5,3.3333333333333335,3.1547300000000007,0.0168487457495607,1.3768499999999999,0.0037942719986841
6,3.2000000000000002,3.0982999999999996,0.0174274878663945,1.3614800000000002,0.0045578211168642
7,3.0666666666666664,3.0638999999999994,0.0125826423651352,1.3539399999999999,0.0033616860848886
8,2.9333333333333336,3.0391500000000002,0.0147294885631964,1.3491900000000001,0.0040777839842518
9,2.7999999999999998,2.9807000000000006,0.0077922183405411,1.3318000000000001,0.0020583164641685
10,2.6666666666666670,2.9155799999999998,0.0171559694826284,1.3161799999999999,0.0042530198421565
11,2.5333333333333332,2.8740999999999999,0.0065018629808868,1.3074400000000002,0.0017562713027574
12,2.3999999999999999,2.8024200000000006,0.0122896324870467,1.2919399999999999,0.0032704128179788
13,2.2666666666666666,2.7452700000000001,0.0143574684398050,1.2787700000000000,0.0036226463623526
14,2.1333333333333333,2.6899499999999996,0.0137191694759958,1.2629100000000000,0.0034020728975141
15,2.0000000000000000,2.5941600000000000,0.0138642562007490,1.2364400000000000,0.0033782704319090
16,1.8666666666666667,2.4872900000000002,0.0112578905661763,1.2077300000000002,0.0031274430450450
17,1.7333333333333334,2.3844699999999999,0.0052509057419756,1.1841899999999999,0.0019284103989211
18,1.6000000000000001,2.2742099999999996,0.0116738401755572,1.1515099999999998,0.0028718344891955
19,1.4666666666666668,2.1352800000000003,0.0083495415709152,1.1120600000000000,0.0029844858109156
20,1.3333333333333335,1.9878100000000001,0.0054913760671719,1.0698500000000000,0.0024813638722820
21,1.2000000000000002,1.8260300000000000,0.0073406637604813,1.0180100000000001,0.0030250234158874
22,1.0666666666666669,1.6421900000000000,0.0074300059817533,0.9566300000000000,0.0028526030997046
23,0.9333333333333331,1.4266099999999997,0.0073599433874635,0.8798899999999999,0.0035172416591541
24,0.7999999999999998,1.2174700000000001,0.0045845404471015,0.7981299999999999,0.0017298073110417
25,0.6666666666666665,1.0075499999999999,0.0038453796229299,0.7068500000000000,0.0013409159390340
26,0.5333333333333332,0.8237700000000000,0.0037633628578706,0.6166700000000001,0.0020932192113266
27,0.3999999999999999,0.6501600000000001,0.0035780876332352,0.5213600000000000,0.0017036040228488
28,0.2666666666666666,0.5252000000000000,0.0024143091949643,0.4420000000000000,0.0013960261060915
29,0.1333333333333333,0.4441200000000000,0.0022723849439155,0.3852800000000000,0.0017395273943102
30,0.0000000000000000,0.3904700000000000,0.0027751696644830,0.3467699999999999,0.0018960221517693
