  TQ                     Temp                   charge                    error                chargeAbs                    error
   0       4.0000000000000000       3.3032100000000009       0.0135072692363120       1.4108900000000000       0.0033880328609188
   1       3.7999999999999998       3.2687000000000004       0.0169824288277289       1.4001400000000002       0.0040423370578033
   2       3.6000000000000001       3.2372299999999994       0.0093166523553858       1.3944099999999999       0.0019883242525638
   3       3.3999999999999999       3.1993702598476874       0.0150336655545277       1.3868116119791789       0.0034834097380088
   4       3.2000000000000002       3.1475999999999993       0.0105017776273035       1.3723199999999998       0.0037160253557322
   5       3.0000000000000000       3.0775000000000001       0.0175206037440368       1.3576600000000003       0.0042948341062257
   6       2.7999999999999998       3.0186299999999999       0.0103850966934998       1.3406700000000000       0.0028156724083442
   7       2.6000000000000001       2.9370700000000007       0.0107713823522228       1.3251100000000000       0.0030836648470430
   8       2.3999999999999999       2.8757299999999999       0.0095312940709361       1.3083300000000002       0.0023764141988393
   9       2.2000000000000002       2.7861099999999999       0.0113603838941393       1.2876299999999998       0.0033668993318945
  10       2.0000000000000000       2.6983500000000005       0.0141303239720668       1.2645500000000003       0.0048339827149969
  11       1.7999999999999998       2.5673000000000004       0.0127571853391641       1.2327800000000000       0.0032060636993742
  12       1.6000000000000001       2.4162299999999997       0.0120008059914511       1.1902100000000000       0.0039347864547450
  13       1.3999999999999999       2.2426200000000001       0.0084381646240295       1.1416200000000003       0.0033969855918316
  14       1.2000000000000002       2.0463200000000001       0.0111266826442865       1.0861000000000003       0.0029930289377522
  15       1.0000000000000000       1.8016600000000005       0.0079046849680711       1.0127999999999999       0.0022627416997970
  16       0.7999999999999998       1.5499500000000002       0.0092629039123208       0.9279700000000000       0.0031644922359062
  17       0.6000000000000001       1.3035500000000000       0.0052483701173687       0.8391500000000001       0.0022663847863944
  18       0.3999999999999999       1.0482999999999998       0.0041777984633059       0.7322200000000000       0.0020623503312698
  19       0.2000000000000002       0.8476899999999998       0.0049639242988228       0.6362900000000000       0.0026324661019238
  20       0.0000000000000000       0.7059000000000000       0.0033394943063616       0.5612600000000001       0.0018966754539926
