tau_Q,T,<Q^2>,Error <Q^2>,AR|CS,Error AR|CS
1,3.2000000000000002,.0503796875000000,.0007264726292725,.0184844750059002,.0000112655192792
2,2.3999999999999999,.0503734375000000,.0007244090776373,.0194989973356158,.0000143938183704
3,1.6000000000000001,.0494703125000000,.0007027626445358,.0214893675663447,.0000205351450328
4,.7999999999999998,.0479906250000000,.0006723209547493,.0277220149998059,.0000416301824581
5,.0000000000000000,.0165546875000000,.0003478398509410,.1499065101646693,.0005817765939759
