tau_Q,T,<Q^2>,Error <Q^2>,<|Q|>,Error <|Q|>
0,4.0000000000000000,3.2862706487724993,0.0187177654040220,1.4039903192889773,0.0042461515635880
1,3.8999999999999999,3.2555894096871056,0.0096025151589242,1.4017698518732380,0.0018706386967154
2,3.7999999999999998,3.2486805519228441,0.0119466422302550,1.3954800918465442,0.0027491321588590
3,3.7000000000000002,3.2283801232015001,0.0155145957903509,1.3914400102659132,0.0036285381889490
4,3.6000000000000001,3.2369800000000004,0.0116639692119696,1.3923800000000002,0.0026751033209539
5,3.5000000000000000,3.1773700000000002,0.0074847407733634,1.3821700000000003,0.0020390656901848
6,3.3999999999999999,3.1790000000000003,0.0134291970472302,1.3795400000000002,0.0029469079840855
7,3.2999999999999998,3.1362499999999995,0.0191059342148512,1.3689300000000002,0.0044803782082419
8,3.2000000000000002,3.0975699999999997,0.0110421923145317,1.3619100000000000,0.0027042949378927
9,3.1000000000000001,3.0860500000000002,0.0081330908433795,1.3586900000000002,0.0032143238445708
10,3.0000000000000000,3.0641499999999993,0.0171732430768852,1.3536699999999999,0.0040032778236507
11,2.8999999999999999,3.0125099999999998,0.0097060971673593,1.3402499999999997,0.0022216235304640
12,2.7999999999999998,2.9981313399046949,0.0110542694004974,1.3390106283939658,0.0022938831869369
13,2.7000000000000002,2.9467578976057864,0.0183239259392847,1.3247194673074119,0.0045815486784228
14,2.6000000000000001,2.9156096493986512,0.0115473615857658,1.3175298231352692,0.0034201204386215
15,2.5000000000000000,2.8756287952957846,0.0146748077290028,1.3106493783238293,0.0033994605541519
16,2.3999999999999999,2.8113799999999993,0.0095423360754994,1.2913200000000000,0.0031821655798808
17,2.2999999999999998,2.7562600000000002,0.0111242697637993,1.2773800000000000,0.0022346662688943
18,2.2000000000000002,2.7269700000000001,0.0086798623901019,1.2708300000000001,0.0020850819328426
19,2.1000000000000001,2.6585999999999999,0.0118561845089857,1.2536799999999997,0.0033279890491272
20,2.0000000000000000,2.6205500000000002,0.0167132033634085,1.2429300000000001,0.0048175385600717
21,1.8999999999999999,2.5462800000000003,0.0089837111856221,1.2286800000000002,0.0025128912077968
22,1.7999999999999998,2.4665463711289513,0.0189538673226163,1.2016440562106825,0.0046396133516271
23,1.7000000000000002,2.3726800114074535,0.0085131494680134,1.1765045107935250,0.0022848117103706
24,1.6000000000000001,2.2792091924793634,0.0074188828142462,1.1536295877418423,0.0017580234361797
25,1.5000000000000000,2.1998800000000003,0.0147911219618013,1.1326000000000001,0.0034977770718622
26,1.3999999999999999,2.0918199999999998,0.0111708728396662,1.0983000000000001,0.0032560712522917
27,1.2999999999999998,1.9748500000000000,0.0100518903694774,1.0636500000000002,0.0019238993967691
28,1.2000000000000002,1.8444900126457271,0.0073787304960461,1.0241900063208658,0.0023149490065604
29,1.1000000000000001,1.6986000000000001,0.0080217482162212,0.9780799999999999,0.0024053089429658
30,1.0000000000000000,1.5547700000000000,0.0062148934021431,0.9297299999999999,0.0027759302745006
31,0.8999999999999999,1.4124099999999999,0.0072879878338719,0.8764100000000001,0.0025790803701234
32,0.7999999999999998,1.2406500000000000,0.0035324605840374,0.8086500000000001,0.0016550427990438
33,0.7000000000000002,1.0843099999999999,0.0032187454422838,0.7437500000000000,0.0016392579622094
34,0.6000000000000001,0.9225700000000001,0.0048882409924226,0.6687300000000000,0.0023389955108978
35,0.5000000000000000,0.7932600000000000,0.0035988640183011,0.6008199999999999,0.0021503901454800
36,0.3999999999999999,0.6628500000000001,0.0031177003633376,0.5290100000000001,0.0013626322565780
37,0.2999999999999998,0.5655100000000000,0.0020235529809389,0.4680900000000001,0.0012906888772194
38,0.2000000000000002,0.4861500000000000,0.0025102124744066,0.4168100000000000,0.0010360662784462
39,0.1000000000000001,0.4233400000000000,0.0013961216120223,0.3725600000000000,0.0009357350052232
40,0.0000000000000000,0.3809800000000000,0.0008060603782182,0.3407200000000000,0.0003929376540878
