tau_Q,T,<Q^2>,Error <Q^2>,<|Q|>,Error <|Q|>
0,4.0000000000000000,3.2689400000000006,0.0128400951882933,1.4040599999999999,0.0030943030089360
1,3.8999999999999999,3.2741400000000001,0.0136094917857599,1.4037800000000000,0.0034097833101567
2,3.7999999999999998,3.2790100000000004,0.0130545305034942,1.4050500000000001,0.0027581898250684
3,3.7000000000000002,3.2719000000000000,0.0111856157631132,1.4022399999999999,0.0027830119574941
4,3.6000000000000001,3.2806199999999999,0.0186089930469713,1.4027200000000002,0.0046546225530231
5,3.5000000000000000,3.2841399999999994,0.0172793145440181,1.4025400000000001,0.0043523224962211
6,3.3999999999999999,3.2801400000000003,0.0134960751496292,1.4008400000000001,0.0038529988320790
7,3.2999999999999998,3.2796699999999985,0.0123633063718587,1.4013300000000002,0.0033773444531992
8,3.2000000000000002,3.2685599999999999,0.0148517578458276,1.4006399999999999,0.0034371241208636
9,3.1000000000000001,3.2579000000000002,0.0126574088975593,1.3983000000000001,0.0026792619215830
10,3.0000000000000000,3.2537500000000001,0.0112920153697696,1.3970300000000000,0.0024464963610120
11,2.8999999999999999,3.2443200000000005,0.0096636868970619,1.3938000000000001,0.0023815027935226
12,2.7999999999999998,3.2467699999999993,0.0102395100794260,1.3948299999999998,0.0017411394736398
13,2.7000000000000002,3.2321399999999989,0.0078611308205484,1.3920399999999999,0.0011267652816802
14,2.6000000000000001,3.2260499999999994,0.0074423301309316,1.3894100000000003,0.0020911692635674
15,2.5000000000000000,3.2038299999999991,0.0113682408489618,1.3852500000000001,0.0031668859573195
16,2.3999999999999999,3.1956199999999995,0.0126086813126689,1.3833000000000000,0.0030878255563853
17,2.2999999999999998,3.1828599999999994,0.0135365037337315,1.3801400000000001,0.0029176931527034
18,2.2000000000000002,3.1596799999999994,0.0139579352182031,1.3726600000000002,0.0027883567442730
19,2.1000000000000001,3.1420399999999993,0.0142146888034097,1.3691400000000000,0.0023979250289458
20,2.0000000000000000,3.1159100000000004,0.0130133303449451,1.3631300000000002,0.0025675777603718
21,1.8999999999999999,3.0907399999999994,0.0129919479336671,1.3564199999999997,0.0029166876189722
22,1.7999999999999998,3.0792700000000002,0.0123113412032248,1.3545300000000000,0.0032698301009209
23,1.7000000000000002,3.0560599999999996,0.0133444803404085,1.3503599999999998,0.0037842128199490
24,1.6000000000000001,3.0144599999999997,0.0145290758289865,1.3401600000000000,0.0038211167652053
25,1.5000000000000000,2.9615699999999996,0.0160465091392351,1.3260500000000002,0.0039005483944926
26,1.3999999999999999,2.9274399999999998,0.0120873873659004,1.3184400000000001,0.0035984008794031
27,1.2999999999999998,2.8850399999999996,0.0140283617480208,1.3076800000000000,0.0040597427395232
28,1.2000000000000002,2.8185099999999994,0.0127697946559666,1.2910300000000001,0.0033067624314092
29,1.1000000000000001,2.7470100000000004,0.0153896029116337,1.2727100000000000,0.0039681355823610
30,1.0000000000000000,2.6653399999999996,0.0206258532483436,1.2516800000000001,0.0053334749981184
31,0.8999999999999999,2.5648199999999997,0.0177596283744904,1.2239400000000000,0.0049284254866819
32,0.7999999999999998,2.4204500000000002,0.0119129458060457,1.1840899999999999,0.0031189545969407
33,0.7000000000000002,2.2385999999999995,0.0095809649247289,1.1304000000000003,0.0022048935474429
34,0.6000000000000001,2.0121799999999994,0.0081175228843395,1.0568400000000000,0.0019153879792646
35,0.5000000000000000,1.7146199999999996,0.0074606642540132,0.9487000000000002,0.0025362264182136
36,0.3999999999999999,1.3347700000000000,0.0088646119173060,0.7882700000000000,0.0031065540036797
37,0.2999999999999998,0.9024400000000000,0.0069064575257910,0.5727000000000000,0.0030707943235876
38,0.2000000000000002,0.4907300000000001,0.0040998658514639,0.3393900000000000,0.0018180850731837
39,0.1000000000000001,0.1928600000000000,0.0016589287038461,0.1459600000000000,0.0011322740147352
40,0.0000000000000000,0.0435500000000000,0.0008484299224646,0.0360100000000000,0.0005566666666667
